variant,prob_decile,n,mean_pred_surv,obs_surv_rate
PN,1,5000,0.5817978481699702,0.5426
PN,2,5000,0.8492222564690769,0.8552
PN,3,5000,0.9197253292354993,0.932
PN,4,5000,0.9540162663722591,0.962
PN,5,5000,0.9734633863643888,0.9744
PN,6,5000,0.9849624637796651,0.9888
PN,7,5000,0.9920999176395578,0.9912
PN,8,5000,0.9962481898611527,0.995
PN,9,5000,0.9986311551409849,0.9964
PN,10,5000,0.9997773543003536,0.9938
SN,1,5000,0.5875570862973393,0.587
SN,2,5000,0.6814943942658025,0.6854
SN,3,5000,0.731020254311622,0.7302
SN,4,5000,0.7707850798273991,0.7754
SN,5,5000,0.8075054353597473,0.8026
SN,6,5000,0.8407374817182676,0.8312
SN,7,5000,0.8691769264411281,0.8774
SN,8,5000,0.8936536994495161,0.8956
SN,9,5000,0.9172295221627291,0.9064
SN,10,5000,0.9459441183123073,0.9384
SO,1,5000,0.7863072391887458,0.7168
SO,2,5000,0.8660017431740787,0.8942
SO,3,5000,0.8946544749807243,0.9212
SO,4,5000,0.9136922184260798,0.9374
SO,5,5000,0.9277159320657832,0.9426
SO,6,5000,0.9388250540366505,0.9498
SO,7,5000,0.9485304710345862,0.9514
SO,8,5000,0.9573365014780563,0.9554
SO,9,5000,0.9665041271359959,0.9532
SO,10,5000,0.9802303507692542,0.9462
TT,1,55,0.8894528507604124,0.8909090909090909
TT,2,54,0.9429586252008471,0.9074074074074074
TT,3,54,0.9584358059082171,0.9629629629629629
TT,4,54,0.9643814107430058,1
TT,5,54,0.969280747103034,0.9259259259259259
TT,6,54,0.9735989670143733,0.9814814814814815
TT,7,54,0.9768989582507865,0.9629629629629629
TT,8,54,0.9800564912029667,0.9444444444444444
TT,9,54,0.9830407132186307,1
TT,10,54,0.9882527906904448,1
UT,1,5000,0.7027587588443823,0.6396
UT,2,5000,0.8263565539727483,0.862
UT,3,5000,0.8836425648681123,0.9062
UT,4,5000,0.9210346795987615,0.927
UT,5,5000,0.9440306101801658,0.958
UT,6,5000,0.957955107845463,0.9634
UT,7,5000,0.9688989527238465,0.9698
UT,8,5000,0.9781323472502258,0.9828
UT,9,5000,0.985184610831404,0.9824
UT,10,5000,0.9907984842736416,0.9598
WC,1,5000,0.7570579554937125,0.6324
WC,2,5000,0.8623336257374483,0.8876
WC,3,5000,0.896413642551673,0.945
WC,4,5000,0.9192257640325048,0.9626
WC,5,5000,0.9364897864311178,0.9706
WC,6,5000,0.9502845290465698,0.971
WC,7,5000,0.9610982190393372,0.971
WC,8,5000,0.9703177042788168,0.975
WC,9,5000,0.9786370734806391,0.9704
WC,10,5000,0.9878779637410845,0.923
WS,1,5000,0.7418195019330904,0.693
WS,2,5000,0.8020550115437275,0.824
WS,3,5000,0.830846298084874,0.8418
WS,4,5000,0.8535797825012794,0.8686
