SPCD,variant,n,obs_mort,auc,common_name
81,OC,2930,0.13071672354948805,0.5744771148363764,SPCD 81
81,OP,539,0.05565862708719849,0.5574983628028815,SPCD 81
81,PN,70,0.08571428571428574,0.9505208333333334,SPCD 81
81,SO,963,0.09657320872274144,0.49525398591027064,SPCD 81
81,WC,666,0.06906906906906907,0.5250350631136045,SPCD 81
81,WS,4786,0.15252820727120764,0.568366836886331,SPCD 81
91,ACD,49,0.020408163265306145,1,SPCD 91
91,CS,3,0,NA,SPCD 91
91,LS,24,0.04166666666666663,0.9565217391304348,SPCD 91
91,NE,154,0.12337662337662336,0.9688109161793372,SPCD 91
91,ON,24,0.04166666666666663,1,SPCD 91
92,CA,20,0,NA,SPCD 92
92,OC,12,0,NA,SPCD 92
92,OP,3,0,NA,SPCD 92
93,BC,1535,0.1094462540716612,0.5642439126345491,Engelmann spruce
93,BM,1804,0.0432372505543237,0.8479365362331759,Engelmann spruce
93,CA,3,0,NA,Engelmann spruce
93,CI,1113,0.10242587601078168,0.6329136153697558,Engelmann spruce
93,CR,5196,0.23556581986143188,0.5539034680673209,Engelmann spruce
93,EC,2048,0.26220703125,0.6100674507368066,Engelmann spruce
93,EM,3730,0.10777479892761399,0.5612666834098737,Engelmann spruce
93,IE,3897,0.10572235052604573,0.6234019584627599,Engelmann spruce
93,KT,4049,0.10916275623610772,0.6030832456247092,Engelmann spruce
93,OP,508,0.051181102362204745,0.6769869135014364,Engelmann spruce
93,SO,190,0.09999999999999998,0.6408125577100646,Engelmann spruce
93,UT,1571,0.18841502227880336,0.6509167991520932,Engelmann spruce
93,WC,115,0.06956521739130439,0.9205607476635513,Engelmann spruce
94,ACD,701,0.042796005706134066,0.9666169895678093,SPCD 94
94,AK,1519,0.21527320605661615,0.4913567514315621,SPCD 94
94,CS,2,0.5,1,SPCD 94
94,LS,790,0.06708860759493673,0.9490540436752771,SPCD 94
94,NE,395,0.04303797468354431,0.967942732648615,SPCD 94
94,ON,857,0.06534422403733953,0.8679775280898876,SPCD 94
95,ACD,1070,0.0523364485981308,0.9454423781346858,SPCD 95
95,AK,1364,0.11950146627565983,0.6751071448639426,SPCD 95
95,LS,2793,0.05442176870748294,0.914334183622631,SPCD 95
95,NE,538,0.052044609665427455,0.9573529411764706,SPCD 95
95,ON,2774,0.06560922855082918,0.9260446343779677,SPCD 95
96,CR,303,0.09240924092409242,0.8184415584415584,SPCD 96
96,LS,4,0,NA,SPCD 96
96,NE,5,0.8,1,SPCD 96
96,ON,6,0,NA,SPCD 96
96,UT,40,0.050000000000000044,0.8421052631578947,SPCD 96
97,ACD,5253,0.023605558728345688,0.9177683507443444,Red spruce
97,NE,3066,0.023809523809523836,0.9558421705440548,Red spruce
97,SN,12,0,NA,Red spruce
98,AK,6163,0.06571474931040078,0.9045304653965068,SPCD 98
98,BC,122,0.08196721311475408,0.8964285714285715,SPCD 98
98,NC,35,0,NA,SPCD 98
98,OC,51,0.039215686274509776,0.8979591836734694,SPCD 98
98,OP,196,0.0714285714285714,0.8171114599686029,SPCD 98
98,PN,1019,0.07262021589793921,0.8727441727441727,SPCD 98
98,WC,15,0.06666666666666665,0.07142857142857142,SPCD 98
101,BC,605,0.31404958677685946,0.632428662016487,SPCD 101
101,BM,220,0.15000000000000002,0.8509155728407065,SPCD 101
