SPCD,common_name,n_variants,total_n,mean_r2,sd_r2,mean_rmse,mean_bias
492,SPCD 492,9,706,0.49630818242483604,0.12457250049389149,7.223541761091746,-1.5742374384802453
544,SPCD 544,9,3304,0.508265951242677,0.34013697967234763,9.538275925978448,0.5515620455109085
742,SPCD 742,9,456,0.5673117617228918,0.5685512240546148,10.527824114266668,0.13628962124815708
805,SPCD 805,9,14671,-27.204268315379206,74.83488332181582,11.961709637762098,-6.146891687847529
818,SPCD 818,9,8318,0.5594648807729519,0.08931174007531521,10.91459003194494,-0.8206183019176386
999,SPCD 999,9,157,-0.24837529810372946,1.4812420318886472,19.93107632856659,-18.23405090122259
20,SPCD 20,8,7404,0.8687209215468839,0.03675780572133692,20.856956898853234,-8.54857095476514
98,SPCD 98,8,8814,0.7541619132549131,0.11531219879592623,19.294057871894,1.4824576659140596
113,SPCD 113,8,2883,0.48474078208978755,0.032426061278789046,9.846470963088104,-0.3180977654222353
116,SPCD 116,8,7295,0.8239502845934205,0.08137248902983057,13.989945533480064,-1.739218641480376
542,SPCD 542,8,381,0.5439259012749211,0.356165033849363,11.14736304589033,-1.0085019460113318
631,SPCD 631,8,15047,-5.421777316846864,17.269207051718812,15.081488503260863,-4.863005475241354
972,SPCD 972,8,4494,-5.31678107402099,15.988273125133507,9.680561105328701,-3.4869030697324845
21,SPCD 21,7,3314,0.891109057436983,0.01892603313854514,14.172052137840113,0.7122114094170233
41,SPCD 41,7,1333,0.8529334936420038,0.030327041881713767,38.71834827960907,-24.415856151284142
96,SPCD 96,7,327,-0.07732855533517183,1.5805883607361775,10.956483463069452,-6.331169144047021
130,SPCD 130,7,359,-0.9750518227177077,2.551129499144646,11.81618400823033,-2.8748531263554353
500,SPCD 500,7,378,0.1352586938316715,0.14671718488892951,6.411932495345682,-1.8915546135038501
661,SPCD 661,7,67,-3.944731940799218,4.8477105878017195,12.248236395463735,-7.2914895392944405
741,SPCD 741,7,1576,-160.73539082410804,395.5139088938226,13.869828551336168,-8.697847349725619
771,SPCD 771,7,51,-2.0755492080076587,4.092148355502966,23.055407277988277,-19.72996580496477
981,SPCD 981,7,2848,0.6283557172872607,0.09593515291953282,9.870399425654306,-0.0929388002466696
42,SPCD 42,6,6150,0.8550260536767847,0.06822183496254891,11.16336955420273,1.1062972380811276
68,SPCD 68,6,4017,-279.2278112239739,685.3349124772576,8.990715184667987,-3.1285019094183166
129,White pine,6,6768,0.7575415483275919,0.038974489683017005,11.334829186625969,0.49084738507503606
133,SPCD 133,6,11282,-0.15124147687538655,1.5139016250176143,6.207507739927633,-1.531167681466795
211,SPCD 211,6,2752,0.7743927239469024,0.17411781798843162,12.091336903501237,2.8156253253470473
316,Red maple,6,27639,0.7866446408237167,0.04394857092225555,8.82134506627478,-0.1280899299980458
317,SPCD 317,6,1413,0.5238076416089218,0.19682268654699267,12.75632400080457,2.905224153705443
318,Sugar maple,6,17342,0.7864423087578727,0.03133291256520521,8.999093049594324,-0.19222865132936398
356,SPCD 356,6,518,0.7802549152904835,0.09761403433333074,5.2158568566273145,-1.1979068496197045
357,SPCD 357,6,23,-0.063591700755991007,1.3379218042582057,8.504527585914412,-6.7287711306612765
391,SPCD 391,6,829,0.6161720474574517,0.14258889618390982,4.408333767330856,-0.16515416948205372
402,SPCD 402,6,1262,0.7687967369485967,0.041413080756169986,10.828831176903527,0.8525295930732252
403,SPCD 403,6,1609,0.36091704347806475,0.9453162946337242,13.218796935710849,0.5331956675843851
407,SPCD 407,6,2195,0.5977154343289003,0.29717315342115375,11.122242835516463,0.8852402020895709
531,American beech,6,7297,0.8205726652358332,0.052737654942875266,9.047367823886484,-0.27320238627759064
541,White ash,6,4131,0.7920268857621467,0.0432304559206176,10.022652956979956,0.5746140895951554
701,SPCD 701,6,2609,0.7840284197290546,0.03851830957131919,5.826847437504236,0.32214610720633763
743,Red oak,6,3263,0.7806124567385604,0.047607075151472826,7.917263489901856,-0.02157832239360072
749,SPCD 749,6,184,0.6640263986271004,0.19438837635734968,9.410561945632656,0.7325949812357383
762,SPCD 762,6,5037,0.7524630369340022,0.030626423921362833,9.845120327125693,-0.06284918769102966
802,White oak,6,8956,0.7238023686647412,0.023609790334663452,9.593969122211146,0.045076568320474616
826,SPCD 826,6,657,-119.59776856151959,291.27444801865107,21.40715379954578,-9.514200570037527
833,Northern red oak,6,6370,0.706481605252079,0.01699904722359458,10.922690478776605,-0.2575820406704111
837,SPCD 837,6,4972,0.7174110321355438,0.018366288568176785,10.041772910818047,-0.32176884580462395
922,SPCD 922,6,416,0.6018197451907463,0.08262934734592293,11.721631913140463,-3.4337829602928993
951,Red pine,6,3341,0.7028092127339229,0.045464922830758835,10.972371677873687,0.10612792141628415
62,SPCD 62,5,552,-0.13499898214909523,0.5632804782264851,5.736276525169133,-0.15846834380900593
71,SPCD 71,5,3268,0.742285544510243,0.02750046155154086,8.10422399639439,-0.39584365235859087
72,SPCD 72,5,427,0.3248374422085014,0.629188539434132,9.247470782475292,-1.1536181269165064
91,SPCD 91,5,278,0.027566303722287477,0.9763301958940286,12.02109071909252,-2.291142305058371
95,SPCD 95,5,10398,0.8064228071832813,0.02623772857857452,6.087623686584258,0.16252715673384516
105,SPCD 105,5,2223,0.1450916983248089,0.7126577509933049,12.000880883342452,3.134471453343689
125,SPCD 125,5,5271,0.48317592048395314,0.24874909994722977,11.854599696132476,0.15673331670667046
212,SPCD 212,5,35,0.7840671773649037,0.1387368335512634,37.72412637876808,-18.018274090777528
261,Eastern hemlock,5,6459,0.7217489542093481,0.030364251988883203,9.546233012458428,-0.8521672450330037
310,SPCD 310,5,12,-37.932831486572965,57.337565569804475,14.883068006001489,-13.441297909490403
315,SPCD 315,5,1348,0.620819273949785,0.28036628923250084,4.996767615980163,-1.1133378676251304
319,SPCD 319,5,477,0.5334734546891888,0.28152893357150444,8.030669961182234,-5.951449325401074
341,SPCD 341,5,103,-0.6958459604276431,2.6389482711242938,17.872102840444768,-12.255764380885434
371,Yellow birch,5,5611,0.6573360273860241,0.07585521811129932,9.410068180109022,0.6769130377741299
373,SPCD 373,5,176,-5.121461540377843,12.956455438900482,9.916524320605003,-2.0081737195914764
462,SPCD 462,5,1671,0.7772870338020071,0.08932414429123832,8.111430548493887,-1.7015556431825976
491,SPCD 491,5,1366,0.31048590549439153,0.7785561540791878,4.561794533773499,-1.1811788609436131
543,SPCD 543,5,4595,0.7898733279825702,0.05177975317811601,7.015475847530927,-0.10137796074472213
552,SPCD 552,5,679,-16.529572990985802,34.08349360743524,16.695383360708085,-7.979888979384826
601,SPCD 601,5,51,0.43983536923312666,0.2750842575379476,11.679844943960548,-3.0056110283595006
602,SPCD 602,5,1713,0.6690012786525729,0.021918850231827817,10.728464559741228,0.5705776949429224
611,SPCD 611,5,4480,0.8577333530734192,0.014725042737474941,20.53082023266301,-15.033228094918455
621,SPCD 621,5,2806,0.714963380078384,0.1525753367128074,12.086884994801318,-2.204272893234051
681,SPCD 681,5,156,-0.5340093800507023,2.049623752926499,10.155172830849907,5.629824140603927
682,SPCD 682,5,453,0.3114001962472135,0.3467409352540253,9.703682015943592,-3.9560543048854484
693,SPCD 693,5,2016,0.6725947451548032,0.37264332353981244,8.799940335068277,0.7021158454831791
731,SPCD 731,5,565,-13.110235100494592,31.137823052260305,27.166448584245714,-18.703491446511766
761,SPCD 761,5,525,0.7872256454598159,0.09615417131035345,5.701223042013044,-0.024535087068064964
766,SPCD 766,5,79,-0.2276500891044813,0.5970296794768517,9.532156013374015,-6.787016803331519
804,SPCD 804,5,179,0.6649045307437715,0.09256850365600883,13.229300828674097,-4.5258012116406325
806,SPCD 806,5,1487,0.7546311864751498,0.07558719077189481,13.472988278659376,-7.294771044864166
823,SPCD 823,5,1635,0.6405237441612123,0.05142941582122124,8.981750148466622,-0.25373698845362236
830,SPCD 830,5,340,-1.0384845146279025,3.3521702575472037,15.41728709007675,-3.2104126962473796
921,SPCD 921,5,39,-9.189512060195188,16.007259258301413,13.82562527226472,-12.766795337543888
931,SPCD 931,5,1437,0.6237399635951314,0.11162309396397883,9.912386465028067,-0.12546191233123014
935,SPCD 935,5,130,-0.21832575628290382,1.4452187513590071,9.556504275612324,-5.630256011794192
974,SPCD 974,5,69,0.47278828835837355,0.17525495298560828,14.343561314633376,-6.944105471326624
975,SPCD 975,5,1102,0.7250405752442857,0.06528677134248632,9.029213358514044,-0.3576399639102875
997,SPCD 997,5,15,-1.2076065706101655,1.1373939795982515,10.163207306746404,-9.655704633147808
6918,SPCD 6918,5,129,-0.4464301084458343,1.2884592679069928,5.603665852897916,-0.8867710171807612
8421,SPCD 8421,5,8,-0.25570207097063324,NA,13.930709249580794,-13.4560585756194
12,Balsam fir,4,23705,0.8476291981464648,0.010349960225974538,5.675663021794233,0.21092689392070577
70,SPCD 70,4,55,-1.0853688502038816,1.939389831626781,10.451260174546322,-0.6114106080299024
131,SPCD 131,4,11603,0.5946092243314246,0.26313421077928756,20.639998871341923,-9.834743414760494
241,White cedar,4,11854,0.6672274255236994,0.08584268556804556,6.187088796031868,-0.10995035423353076
314,SPCD 314,4,80,-9.015449472081075,18.730396363806573,9.839317808536604,1.2047809732519235
322,SPCD 322,4,1121,0.6436996099425814,0.03985187063518805,5.361375896759795,-0.38261798905148475
330,SPCD 330,4,78,-0.5440808143565381,1.947745541648264,6.391376188726316,-3.502589917517298
367,SPCD 367,4,112,0.6498950334752814,0.17589742138141343,5.101437938712969,-3.4150338946131273
405,SPCD 405,4,62,-4.893702637710613,9.912686710109641,36.82122686205432,-31.945786705392774
409,SPCD 409,4,1514,0.6116965241789102,0.350962956759596,7.8419441621162935,-0.028051458637353845
452,SPCD 452,4,26,-0.9820488279806427,NA,28.397866503582783,-23.364380093741794
510,SPCD 510,4,31,0.4159870605671436,0.1363779332679295,35.262661404198674,-29.203853905313697
540,SPCD 540,4,252,0.26279983835206827,0.706911639315276,10.855612204988425,-8.411917696744553
600,SPCD 600,4,10,-1.2745338182347894,3.040987781123389,24.54234355028964,-22.404674027831245
745,SPCD 745,4,317,-0.12825608217707024,0.9458215344546081,13.283712249735371,1.2859048736858862
748,SPCD 748,4,124,0.6243717527022737,0.1404209205323673,14.670454869399716,-2.429091684230597
756,SPCD 756,4,237,0.3473469374359094,0.1721870857074538,3.639910390565682,-0.5344490364944603
807,SPCD 807,4,5833,0.546834321844708,0.0871572621375517,6.4047676238815505,-0.9470198728048028
821,SPCD 821,4,382,-11.047179316362914,22.999883063067855,11.219622315888627,-0.5772838700327401
832,SPCD 832,4,1908,0.6037097083360743,0.05886234858046381,11.290996149889224,2.5128046896692364
927,SPCD 927,4,10,-2.19636867042259,3.026949378582837,34.34079589751341,-32.40027270265171
977,SPCD 977,4,23,-36.51388953245425,64.39419555105316,25.347944683090816,-18.624936648265034
52,SPCD 52,3,15,-3.249909108115305,5.099880550598221,9.027889158705886,-3.2199998991112757
92,SPCD 92,3,36,-416.5896252150461,722.8666696958866,22.56735739161678,-11.02527641845096
97,Red spruce,3,8105,0.7262168490246672,0.17453058737193847,9.017663868784904,1.3818285952676468
104,SPCD 104,3,392,0.45035344921181775,0.06698881140939,20.3881519835131,-12.432963169192435
109,SPCD 109,3,98,0.5592464473604042,0.31715940895043854,12.600073249847862,-1.8933796364696198
110,SPCD 110,3,2844,0.6220169891859177,0.04642985792407122,10.622631587691446,-0.1425755763926362
120,SPCD 120,3,36,0.6904369127514288,NA,29.859384161503538,-25.394000631009096
126,SPCD 126,3,506,0.40598424035495395,0.33045143032842056,11.574686257444098,2.6701588013033333
127,SPCD 127,3,1175,0.7818679788680565,0.016825399392923993,11.694094582140227,-1.1286594214470824
132,SPCD 132,3,1019,0.6057142944410604,0.08832114448126982,11.555495097160318,-1.4365990489565432
136,SPCD 136,3,27,0.5208896609926476,0.27067646921566774,10.768560160961679,-0.905928563630994
137,SPCD 137,3,57,0.6683045744986053,0.22563594143595925,15.278108606530251,-7.7078824280811284
142,SPCD 142,3,196,0.42476143006650424,0.03832771717131824,9.386347441049287,1.7108552681939965e-4
251,SPCD 251,3,75,0.32071705967330283,0.7478390236591668,5.621217091487308,0.6323207162543875
320,SPCD 320,3,25,-3.0243821651479115,4.021456330421916,25.516235608869284,-18.661761041523746
333,SPCD 333,3,626,0.3858532229063361,0.007131930925371486,5.947045922297994,-0.9753853124099172
345,SPCD 345,3,9,-10.627007718813813,15.84760615764768,17.30492412691469,-7.514061599729578
372,SPCD 372,3,1544,0.7313931346672103,0.03254884346132994,9.431318952018762,0.2860883539704652
421,SPCD 421,3,17,-47.59528244890997,78.28351068976721,16.69386330939999,-11.647022509810586
471,SPCD 471,3,376,0.4724373107766631,0.24526041605913718,6.176528924845087,-2.8103089992422334
501,SPCD 501,3,14,-6.39045954849887,6.232797942235994,10.898255288945624,-9.937972409022631
502,SPCD 502,3,4,-1.328960741516954,NA,9.131816119706372,-6.939997006803964
521,SPCD 521,3,430,0.504162191824061,0.4709897586444931,10.050189759746484,-3.16182820554595
547,SPCD 547,3,8,-1.0740009008746592,1.4127640731687567,11.305945157056355,-9.637090631896992
591,SPCD 591,3,469,0.7842235528051663,0.040461677906251776,9.297538149847346,-6.277081198461226
603,SPCD 603,3,22,-54.36800547698237,92.32712428920344,13.249687798271943,-12.050513950296267
641,SPCD 641,3,654,0.5821372535126172,0.17542062257554203,7.15593397468052,-1.8405911155757015
651,SPCD 651,3,94,0.7688176858796377,0.07822692590953313,9.509481684895666,-3.2700855212508007
730,SPCD 730,3,44,0.5753342911892875,0.10182383611039295,18.849045987797112,-3.7234029698802393
800,SPCD 800,3,107,-0.02765022027683184,1.2639236671241112,25.85677361367919,-24.71145605115572
801,SPCD 801,3,1823,0.5573186517463409,0.013753830601666763,9.032218940515415,-0.2844414304994975
809,SPCD 809,3,1005,0.6808832136887675,0.11671929907142374,9.564514305928428,-0.9961779971353812
812,SPCD 812,3,845,0.7165932642711632,0.12060970388403221,10.904033255896396,-2.3461573554532813
813,SPCD 813,3,234,-0.06568028252743079,1.4172974320772602,25.215275736259695,-14.165980967101177
816,SPCD 816,3,22,-0.70287142691199,0.07091842656908673,6.168248413770635,-1.715498943055503
817,SPCD 817,3,540,0.5398353933006126,0.3504091567001202,26.87219692272889,-23.287637288403033
822,SPCD 822,3,119,0.7408423884582044,0.0922343890942326,23.82502529546313,-15.385028466745457
824,SPCD 824,3,549,-0.9077033664664252,2.6564104631592143,9.645098464624297,2.202306680185715
825,SPCD 825,3,85,0.7183418793754642,0.1786080358355266,11.063027740907895,-4.729762303794126
831,SPCD 831,3,357,0.862885627221889,0.11894533824665762,13.928561111315815,8.981348595745562
835,SPCD 835,3,3964,0.602560629633003,0.0150814499251866,10.295054767639988,1.8475592393557438
839,SPCD 839,3,4494,0.6288679036863084,0.012748718042538977,7.1511948236682406,-0.1863548412688903
950,SPCD 950,3,16,0.6742499614884531,NA,35.5633794103432,-29.878407275853817
990,SPCD 990,3,18,0.3030112476017391,0.926169467672949,4.960888955759929,-3.0733705322198936
