SPCD,variant,n,rmse,bias,r2,common_name
66,BM,3,6.978139807680566,-6.73413410984178,-15.855766022300973,SPCD 66
66,CI,101,6.493478158803985,2.1772476317139273,-0.38851235398163686,SPCD 66
66,CR,1033,5.551168466767408,-0.1470967072340789,0.3013699588355261,SPCD 66
66,EM,2663,4.739378199870795,0.37900608301966904,0.19671610064071987,SPCD 66
66,IE,32,5.724471595888638,1.1677793289093228,0.22091326290573532,SPCD 66
66,KT,1454,4.973936432873978,0.33260696601916284,0.22879571601604254,SPCD 66
66,OP,1,17.32437700281897,-17.32437700281897,NA,SPCD 66
66,TT,18,4.047625168750746,0.20420151945221773,0.41949045054984035,SPCD 66
66,UT,739,5.33198426570805,0.0740728119515845,0.35863708378778525,SPCD 66
67,SN,4,16.942200607834074,-13.381333180768223,-0.5924447236399069,SPCD 67
68,ACD,2,20.488788516964092,-20.484571493427417,-1678.161819571519,SPCD 68
68,CS,3062,6.084571379326188,-0.4610221945419024,0.6558494347035415,SPCD 68
68,LS,81,7.067836709415636,2.715110170176868,0.34395626450286854,SPCD 68
68,NE,70,6.827407524141808,0.7234826231602339,0.5311861285848316,SPCD 68
68,ON,77,6.73716179185342,-0.9069723238379915,0.552613943453669,SPCD 68
68,SN,725,6.738525186306782,-0.35703823803968965,0.7113464564304974,SPCD 68
69,CR,4106,3.361662658559655,-0.06531075924463263,0.24550504691795216,SPCD 69
70,ACD,20,5.545165261633059,-2.7659871758120205,0.4581460367624648,SPCD 70
70,LS,4,11.398865332630077,11.142871781952948,-3.100485392392451,SPCD 70
70,NE,26,12.131148160675048,0.9316436797832612,0.6881838773506411,SPCD 70
70,ON,5,12.729861943247105,-11.754170718043799,-2.387319922536182,SPCD 70
71,ACD,206,10.22496875343028,0.041986662565681024,0.7038996928290868,SPCD 71
71,AK,15,3.598419748252397,-2.488640997491172,0.7692507085349366,SPCD 71
71,LS,1456,7.849058651928452,0.027149223310156772,0.7626387950899461,SPCD 71
71,NE,126,10.723120664192773,0.3901553323589948,0.7242112192385126,SPCD 71
71,ON,1465,8.125552164168049,0.050131517463385254,0.7514273068587325,SPCD 71
72,BC,40,9.93476964603767,-2.2109216114336285,0.682739800964862,SPCD 72
72,EC,275,8.149802410741637,-0.24656825670995516,0.7715165604960976,SPCD 72
72,EM,4,2.5586607620079485,-2.36996703391092,-0.7753884461122971,SPCD 72
72,IE,61,12.807388148953562,1.57169949642527,0.501786312714092,SPCD 72
72,KT,47,12.786732944635636,-2.512333228953299,0.4435329829797524,SPCD 72
73,BC,1009,13.74762201772924,0.638814266426036,0.80789702601723,SPCD 73
73,BM,2091,12.802387358763822,-0.024897044459145954,0.8744123964591953,SPCD 73
73,CI,71,13.171310291993827,2.4828646036678395,0.8736308827116427,SPCD 73
73,EC,2096,14.097444669750926,-0.44604721476101306,0.8123416388059208,SPCD 73
73,EM,14,5.730977471152997,-0.5260173865898677,0.675007868342428,SPCD 73
73,IE,3114,12.837739950853432,0.24793288187538864,0.8281067297944049,SPCD 73
73,KT,2011,12.154469864511237,0.14442307146744268,0.8428767341158128,SPCD 73
73,OP,471,12.987839739544942,0.5817239650445788,0.8695724121586615,SPCD 73
73,SO,13,5.491660808439581,2.7763025316890806,0.9669603713454592,SPCD 73
73,WC,7,9.666988967257844,-0.7401474628353343,0.5584297869854234,SPCD 73
81,BC,243,11.502305101611789,1.1963395091256597,0.906353865184267,SPCD 81
81,CA,2687,11.111131421414964,0.05310330839362644,0.8774209244404721,SPCD 81
81,EC,40,8.940407350489322,-3.009140480792317,0.8362053177504689,SPCD 81
81,NC,44,10.102536020554286,0.7438984546783233,0.8840416759160697,SPCD 81
81,OC,2782,11.285102850955589,0.4406352124709876,0.8863846290936599,SPCD 81
81,OP,563,12.531793278101594,-1.1656059347054102,0.8978720172455212,SPCD 81
81,PN,101,16.672071037680528,-1.4725296529194922,0.7827904535364358,SPCD 81
81,SO,1024,7.973477448087886,0.5189230118465541,0.8577570951531487,SPCD 81
81,WC,622,12.4630288489543,2.4606850149425696,0.9092808761968605,SPCD 81
81,WS,4743,11.41178826765962,-0.05582569705865322,0.8877686877463874,SPCD 81
90,NE,1,27.960900447911794,-27.960900447911794,NA,SPCD 90
91,ACD,66,10.975369030667636,-1.2084443963825193,0.6578733936417143,SPCD 91
91,CS,3,10.417520855772526,-6.120228440685966,-1.6686411667325127,SPCD 91
91,LS,24,13.446417254884947,-3.90405266183939,0.187667039190186,SPCD 91
91,NE,163,12.565768263903559,0.8984655511119398,0.7069689421645443,SPCD 91
91,ON,22,12.700378190233927,-1.1214515774959175,0.2539633103475055,SPCD 91
92,CA,21,19.423186895083866,-9.079133456746694,0.7347076290567467,SPCD 92
92,OC,13,12.891258099221574,11.37912274563106,0.7805741950455017,SPCD 92
92,OP,2,35.387627180544904,-35.37581854423725,-1251.2841574692407,SPCD 92
93,BC,1518,13.360334643062703,1.2911877206599447,0.8153376747166544,Engelmann spruce
93,BM,1690,12.885325340497943,1.1322258761025488,0.8723954140218261,Engelmann spruce
93,CA,4,4.288672811657428,-0.8365849500633562,0.9122851172079899,Engelmann spruce
93,CI,2458,13.596567693914071,-0.5005606932446395,0.8168604367631668,Engelmann spruce
93,CR,3737,10.675230903755432,-0.5366689325648497,0.7491293635480994,Engelmann spruce
93,EC,1950,13.998780295995578,0.6996820699186288,0.8482570959181235,Engelmann spruce
93,EM,3714,11.625699243880158,0.34873748237336183,0.7720148177614545,Engelmann spruce
93,IE,3682,12.087880392221681,0.3395834412749951,0.8318142048562087,Engelmann spruce
93,KT,3928,12.520258881270262,-0.07673014981420509,0.7968024844964142,Engelmann spruce
93,OP,453,13.285453467626942,0.005038997398173412,0.8743506230327815,Engelmann spruce
93,PN,3,19.193188182747775,-17.588316374108082,-0.7249772391078659,Engelmann spruce
93,SO,166,15.286256999895846,-1.4514220372232836,0.867486743121587,Engelmann spruce
93,TT,2,3.214700299674847,0.7021934487785586,-0.14825533519217227,Engelmann spruce
93,UT,1613,11.652505060189528,0.48611169548724187,0.7533148531962622,Engelmann spruce
93,WC,122,15.5035079884919,1.8867245385553568,0.867099223592526,Engelmann spruce
94,ACD,650,7.324385419273305,0.26622200184310274,0.7908999112382752,SPCD 94
94,AK,3224,8.915357989939391,-0.11508068570073275,0.6713146380734852,SPCD 94
94,BC,2,44.25922654834669,-43.69038712617156,-38.97712519709952,SPCD 94
94,CS,2,15.752682978259344,14.258155457375942,-61.03675525338542,SPCD 94
94,IE,8,18.2961894552312,12.726147256786952,0.6950185045734387,SPCD 94
94,KT,4,4.724301161314915,-3.1524377733127533,0.8656997580275204,SPCD 94
94,LS,776,7.898849454548405,-0.1446377448563328,0.7382688430192986,SPCD 94
94,NE,344,7.637557304283043,1.4655476373250318,0.779456034875153,SPCD 94
94,ON,792,7.908400699103088,0.6792601816059437,0.760041370139875,SPCD 94
95,ACD,994,6.730409020945664,0.3032777399937213,0.7800905393906269,SPCD 95
95,AK,3792,4.682849858098315,0.30150551479613924,0.8342768839234436,SPCD 95
95,LS,2530,6.190387978245035,0.37174199324612256,0.8182577619042888,SPCD 95
95,NE,493,6.638289768804185,-0.5623897765444281,0.776775228969913,SPCD 95
95,ON,2589,6.196181806828089,0.3985003121776708,0.822713621728134,SPCD 95
96,ACD,1,18.69038854659872,-18.69038854659872,NA,SPCD 96
96,CR,242,8.98819453344903,0.31645771697221414,0.7866826602345895,SPCD 96
96,KT,1,14.238867573792934,-14.238867573792934,NA,SPCD 96
96,LS,11,7.234779357610113,-4.705546325173158,0.455801175910855,SPCD 96
96,NE,5,11.18457535712335,-10.470306934850125,-2.880109364738552,SPCD 96
96,ON,12,6.636952190680704,4.202621966149572,0.38176653499815594,SPCD 96
96,UT,55,9.721626682231308,-0.7321543110359955,0.8692162169190922,SPCD 96
97,ACD,5235,6.891788267931763,0.23656190342460182,0.8279286111220748,Red spruce
97,NE,2861,7.242278514127137,0.06898145664414367,0.8260326773864367,Red spruce
97,SN,9,12.918924824295813,3.839942425734195,0.5246892585654901,Red spruce
98,AK,7220,14.407723609916019,-0.04701565290130922,0.7794741708559487,SPCD 98
98,BC,147,23.311657151680507,0.2863099618534968,0.7838691631027656,SPCD 98
98,EC,6,17.626516776475484,6.892831985982312,0.49087407837546626,SPCD 98
98,NC,169,18.265628721149966,1.9794599426953237,0.8032110012273801,SPCD 98
98,OC,65,19.193123570383708,-1.4367745214197398,0.760301155405064,SPCD 98
98,OP,226,24.226913086252015,3.5818247180516396,0.7381417724412291,SPCD 98
98,PN,966,23.049302716925208,0.534742031439874,0.7875405514631882,SPCD 98
98,WC,15,14.271597342369093,0.06828286161088014,0.8898834131682632,SPCD 98
101,BC,612,9.000039878236915,1.2677961791161894,0.6464969858614533,SPCD 101
101,BM,190,8.496780953452866,0.6788312196293208,0.6743726689658757,SPCD 101
101,CA,1,107.70207477985521,-107.70207477985521,NA,SPCD 101
101,CI,2610,8.908115341506873,-0.1323973613715033,0.6313797509910332,SPCD 101
101,EC,375,9.229190411728,0.6753775704234285,0.5150085123841563,SPCD 101
101,EM,3028,8.394180184524767,0.1581558238777515,0.6415446125576445,SPCD 101
101,IE,374,10.092459680374741,1.054845103416393,0.690908455584632,SPCD 101
101,KT,1916,8.776958938544267,-0.1319341272529465,0.6745034664834306,SPCD 101
101,OC,325,7.749208920555329,0.03183328698643522,0.5526990297424723,SPCD 101
101,OP,94,11.658053411396338,-0.09549418892248722,0.6161877062225201,SPCD 101
101,SO,253,7.722899733618057,0.25688107144364847,0.6091018704852429,SPCD 101
101,UT,19,7.7561218500061395,0.9916184462584529,0.3603666693884455,SPCD 101
101,WC,2,3.227034837734529,3.211707564024783,NA,SPCD 101
