variant,size_class,n,obs_mort_rate,pred_mort_rate,resid_rate
KT,MedSaw (15-21),2443,0.1477691363078183,0.17454134483471118,0.026772208526892882
KT,LargeSaw (21+),691,0.15340086830680177,0.12799816358628457,-0.0254027047205172
LS,Sapling (1-5),10182,0.04714201532115503,0.04961729817002847,0.002475282848873439
LS,Pole (5-9),26767,0.06354839914820487,0.06263887189687367,-9.095272513311992e-4
LS,SmallSaw (9-15),10915,0.05625286303252408,0.05856008981587879,0.00230722678335471
LS,MedSaw (15-21),1800,0.04888888888888887,0.04432987353345197,-0.004559015355436902
LS,LargeSaw (21+),336,0.03273809523809523,0.020676381836509217,-0.012061713401586016
NC,Sapling (1-5),1366,0.09882869692532947,0.11276856413914516,0.013939867213815682
NC,Pole (5-9),5221,0.1162612526335951,0.11272642395192978,-0.003534828681665325
NC,SmallSaw (9-15),2999,0.10370123374458151,0.10193782528149653,-0.0017634084630849811
NC,MedSaw (15-21),932,0.10193133047210301,0.07723312498052681,-0.024698205491576197
NC,LargeSaw (21+),2711,0.053854666174843246,0.061345509922271946,0.007490843747428699
NE,Sapling (1-5),11007,0.036431361860634115,0.04555210219599526,0.009120740335361144
NE,Pole (5-9),23398,0.062013847337379246,0.05866597501203985,-0.003347872325339396
NE,SmallSaw (9-15),12265,0.04843049327354265,0.052900172339770735,0.004469679066228083
NE,MedSaw (15-21),2703,0.03958564557898636,0.0366334080903743,-0.002952237488612064
NE,LargeSaw (21+),627,0.04784688995215314,0.036128170739540555,-0.011718719212612583
OC,Sapling (1-5),3766,0.11338289962825276,0.12482460317791122,0.011441703549658455
OC,Pole (5-9),17847,0.12035636241385106,0.12260975205519875,0.0022533896413476917
OC,SmallSaw (9-15),11091,0.10251555315120364,0.11224187500919525,0.009726321857991604
OC,MedSaw (15-21),4155,0.10204572803850787,0.10783561625587734,0.0057898882173694766
OC,LargeSaw (21+),13141,0.10303629860741192,0.10555872932147625,0.0025224307140643276
ON,Sapling (1-5),10174,0.04629447611558879,0.04875266543985923,0.0024581893242704433
ON,Pole (5-9),26834,0.06618469106357605,0.06723756968116756,0.0010528786175915128
ON,SmallSaw (9-15),10837,0.05758051121158991,0.061049941473281466,0.003469430261691553
ON,MedSaw (15-21),1785,0.050420168067226934,0.04479224892011857,-0.005627919147108362
ON,LargeSaw (21+),370,0.03513513513513511,0.02582081345001086,-0.00931432168512425
OP,Sapling (1-5),4764,0.07997481108312343,0.09909665937438406,0.019121848291260624
OP,Pole (5-9),18985,0.09734000526731634,0.09571102443058765,-0.0016289808367286884
OP,SmallSaw (9-15),12000,0.09066666666666667,0.08192019814730522,-0.00874646851936145
OP,MedSaw (15-21),4305,0.06736353077816493,0.06955336719474381,0.002189836416578883
OP,LargeSaw (21+),9946,0.05781218580333802,0.06360761043053809,0.005795424627200063
PN,Sapling (1-5),2940,0.13979591836734695,0.12208721167481962,-0.017708706692527332
PN,Pole (5-9),19514,0.10536025417648864,0.1042135915588911,-0.0011466626175975492
PN,SmallSaw (9-15),13767,0.061669208977990886,0.06377061113499793,0.0021014021570070485
PN,MedSaw (15-21),4785,0.04179728317659348,0.03776382647158494,-0.004033456705008542
PN,LargeSaw (21+),8994,0.03635757171447629,0.033254260859376994,-0.003103310855099295
SN,Sapling (1-5),9256,0.25216076058772685,0.2454683208442936,-0.006692439743433254
SN,Pole (5-9),25952,0.20329839704069053,0.20573742129058703,0.0024390242498965042
