variant,size_class,n,rmse_log,bias_log,r2_log,rmse_di,bias_di
OC,Sapling (1-5),3260,0.9512390260366775,0.09599609537579228,0.42073983976171814,0.46587678693562684,0.030107230030722028
OC,Pole (5-9),17426,0.8841453412193884,-0.021194089604331137,0.2469253461581179,0.6194011014903879,0.019101422878173437
OC,SmallSaw (9-15),11101,0.8734147482439462,-0.11839323467673087,0.18108087813550455,0.734864858749652,-0.018387026040275492
OC,MedSaw (15-21),4293,0.8492260144003274,-0.1266944771266461,0.08026531751964683,0.793795221033443,0.01284126205492046
OC,LargeSaw (21+),13230,0.8798593590706163,-0.13592410131783159,0.05609162214143837,0.8248057381602529,-0.0010602215340441681
ON,Sapling (1-5),9503,0.8444616800648105,0.22340648227269921,0.43647389302369255,0.3396355014836184,0.11666630139030193
ON,Pole (5-9),26067,0.8257977479808709,0.22312640488991448,0.09796376240774485,0.5174939883176416,0.2028573261690797
ON,SmallSaw (9-15),11117,0.8047581704466146,0.25549054474854044,-0.06112057554034589,0.6266109454917979,0.2967656850898317
ON,MedSaw (15-21),1999,0.782252229691311,0.2303940380969584,-0.11848922475169443,0.6765903124164953,0.3398741287826563
ON,LargeSaw (21+),396,0.8452080990494635,0.10928085557697241,-0.14849435018000623,0.7503891222645265,0.2369345653993345
OP,Sapling (1-5),4366,0.9014448252757246,0.057190897632868935,0.5338612736051345,0.5122815253940092,-0.011912473747888305
OP,Pole (5-9),18398,0.7769994313097472,-0.1440771112511897,0.4315029274812856,0.61986728070523,-0.08640301854012461
OP,SmallSaw (9-15),12176,0.7536781415108478,-0.14304385187220942,0.34711613729425184,0.6694615243370997,-0.05635619052187787
OP,MedSaw (15-21),4322,0.7276606592099206,-0.09109014908002956,0.28795850748977825,0.6779466923497046,0.029795024094876145
OP,LargeSaw (21+),10035,0.774369595869092,1.0801579402844804e-4,0.19944480413809784,0.7292038547202021,0.09910455279801814
PN,Sapling (1-5),2554,1.4828761684778193,-0.6717051304329846,0.057902539643123085,1.2905408525098707,-0.5625450522841982
PN,Pole (5-9),19063,1.1729671763302734,-0.6467644654440614,-0.045454061103654686,1.23541431746913,-0.6033208716628715
PN,SmallSaw (9-15),13767,0.9640789361509455,-0.5006615570184805,0.045679200186521385,1.0336730148651343,-0.40447030904431525
PN,MedSaw (15-21),4823,0.8947333621612038,-0.3688818264052408,0.08162166166937934,0.9626021571657497,-0.23488919713801662
PN,LargeSaw (21+),9054,0.9307592054736031,-0.46666248407897826,-0.07626848960364829,1.1798071190125927,-0.3327083017974084
SN,Sapling (1-5),8913,0.929282714102225,-0.12705786689251491,0.3711308635019641,0.46978178648667024,-0.056539462217345335
SN,Pole (5-9),25912,0.9097930228878375,-0.31038788120396893,0.047537285182899014,0.6469790004561662,-0.16547216359293318
SN,SmallSaw (9-15),11743,0.857517057373627,-0.26393538251758014,-0.004628977219268693,0.6827739659872685,-0.13436949388527292
SN,MedSaw (15-21),2682,0.7765875470836314,-0.1697119923688618,0.0017051231131440803,0.6412851994327327,-0.03385660494935823
SN,LargeSaw (21+),654,0.789354823864234,-0.23427851651246284,-0.021197398095054165,0.7201270600948625,-0.09172213293318979
SO,Sapling (1-5),5430,0.842996536632422,0.34713814614357075,0.50663917723841,0.4066584269292661,0.19031690282594182
SO,Pole (5-9),21096,0.7302025845158037,0.1830897490864383,0.3384039793023368,0.6038204763411323,0.26272922714239694
SO,SmallSaw (9-15),11720,0.7620177469040805,0.16857299706771264,0.15733924501020913,0.7667552166005233,0.3202366828037192
SO,MedSaw (15-21),3615,0.7767608693210543,0.19656200858613593,0.07344118170081138,0.8231580866858492,0.3853795716777759
SO,LargeSaw (21+),7627,0.8486815797401656,0.24536956168638968,-0.07273759341634678,0.7897587934418837,0.319672614109075
TT,Sapling (1-5),26,0.7895524433777916,0.05280766179847426,0.3041281277802438,0.3328431259365603,0.045333924483407326
TT,Pole (5-9),233,0.644038901943438,-0.0073149685743882226,0.3469476722830692,0.32756991224113896,0.015151665868237798
TT,SmallSaw (9-15),129,0.5852986818142132,-0.004983575143824025,0.45206202426926956,0.3226531903484677,0.01960977017377945
TT,MedSaw (15-21),22,0.7108619895828907,0.07184002749518019,0.3160740476068469,0.4591673007179439,0.0022524568614272766
TT,LargeSaw (21+),4,0.7510905234499268,-0.07416721396735582,-0.046156292027651036,0.47859128025823156,0.02865038077617399
UT,Sapling (1-5),6413,0.8474410843626791,0.3611004311801648,0.25327859511450157,0.38476392677498183,0.20987680924627747
UT,Pole (5-9),24237,0.8004955582073346,0.24187199449064764,0.08549739086182173,0.49679631105727784,0.1948824363943386
UT,SmallSaw (9-15),13534,0.8653944523014034,0.27887456496528085,-0.02678183138416812,0.5941802075739875,0.20945070476289054
UT,MedSaw (15-21),3827,0.9256980721309197,0.2613131605419854,-0.08514340390175423,0.7586079617821739,0.1782928476552636
UT,LargeSaw (21+),1165,1.0160092058387333,-0.02542669830085374,-0.10611456019612908,0.8978571433201762,-0.04405229872100908
WC,Sapling (1-5),3746,0.8858190770848637,0.05468113768958379,0.5879654937831551,0.6691596560870334,-0.0195401167781234
WC,Pole (5-9),17173,0.7652604200013886,-0.14710573126110732,0.5158659462655595,0.6470732054365766,-0.09382373936998657
WC,SmallSaw (9-15),12199,0.7341452333961501,-0.15120758528106537,0.4336890545824045,0.6791802182196978,-0.056013711645768904
WC,MedSaw (15-21),4750,0.7154865517861476,-0.07939307642212796,0.32556628491505946,0.6746767374965915,0.04660749100097675
WC,LargeSaw (21+),11315,0.7680234010605481,-0.012745519370440059,0.08997082531299738,0.7000052487255664,0.11484577378619716
WS,Sapling (1-5),2901,1.0855953324017587,0.5206845717326302,0.18487215907665977,0.6044998116450813,0.3361903348246251
WS,Pole (5-9),15087,0.9363857198924413,0.4436491943911687,0.14880921307699468,0.8702310714888281,0.505192100359696
WS,SmallSaw (9-15),10417,0.8805742919749563,0.35780504824264425,0.13345631989048623,1.0071073616097577,0.5794484868653966
WS,MedSaw (15-21),4394,0.8731929731821213,0.3569120448788448,0.041053055374344005,1.1752241928056457,0.6798477753162958
WS,LargeSaw (21+),16361,0.9214372018508512,0.3886090812615523,-0.07271262343691509,1.1385981177988842,0.664850815416525
