SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
133,-0.131328502955625,5.560207855794375,259.87684761807736,7.7103301000875e-4,-1.6242394719899913,347.1440296156274,-1.6796832403043431,1725,0.7,0.30000000000000004,320.9638750163624,-1.6630501098100376,358,320.9638750163624,0.7,0.30000000000000004,qr_dominant
142,0.0260460367799525,5.717582395529952,304.16867379046937,0.136812033880175,-1.488198471119825,NA,NA,NA,NA,NA,NA,NA,621,NA,NA,NA,NA
202,-0.00989229861044875,5.681644060139551,293.4314525316964,-0.005526514250325,-1.630537019250325,374.8995557801092,-1.82371582888785,352,0.7,0.30000000000000004,350.45912480558536,-1.7657621859965924,570,350.45912480558536,0.7,0.30000000000000004,qr_dominant
321,0.117277324422525,5.8088136831725246,333.2235823580475,-0.0430097048448,-1.6680202098448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,0.1524412230271625,5.843977581777162,345.1494742084434,-0.00460438148809875,-1.6296148864880988,485.7407743065734,-1.7829610230515027,73,0.7,0.30000000000000004,387.32686423788243,-1.7369571820824816,619,443.5633842771345,0.3,0.7,bayes_dominant
475,0.04047411061754875,5.732010469367548,308.5890539788492,-0.02093818719348,-1.64594869219348,419.0858524796773,-1.5743083928891304,472,0.7,0.30000000000000004,385.93681292942887,-1.5958004826804353,501,385.93681292942887,0.7,0.30000000000000004,qr_dominant
746,0.178579094115,5.870115452865,354.2898816885083,0.052084864640435,-1.572925640359565,562.5485982596495,-1.446464621008185,720,0.7,0.30000000000000004,500.07098328830705,-1.484402926813599,562,500.07098328830705,0.7,0.30000000000000004,qr_dominant
747,-0.160355954454,5.531180404295999,252.4417185113347,5.621015804625e-4,-1.6244484034195377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
748,-0.3102556443385,5.3812807144115,217.3003970398657,-0.0559403279893875,-1.6809508329893876,NA,NA,NA,NA,NA,NA,NA,452,NA,NA,NA,NA
749,-0.30127233914375,5.390264019606249,219.2612671861036,0.050529401303475,-1.5744811036965252,NA,NA,NA,NA,NA,NA,NA,452,NA,NA,NA,NA
814,0.17837835853075,5.86991471728075,354.2187702396516,0.0900955644254875,-1.5349149405745126,595.8428628183082,-1.3652265951601208,220,0.7,0.30000000000000004,523.3556350447111,-1.4161330987844385,652,523.3556350447111,0.7,0.30000000000000004,qr_dominant
