SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
231,-0.7705950423,5.0552011927,156.83608144481957,0.04137583684746125,-1.5571910031525387,NA,NA,NA,NA,NA,NA,NA,900
242,0.42729319175,6.25308942675,519.6156619951078,0.02226585032428375,-1.576300989675716,690.377997109282,-1.5022699834884221,699,0.7,0.30000000000000004,639.1492965750297,-1.5244792853446103,766
263,0.432922217,6.258718452,522.5488393965691,-0.0707712154833375,-1.6693380554833375,676.0227206690258,-1.743738944245202,2222,0.7,0.30000000000000004,629.9805562872888,-1.7214186776166427,900
264,0.392218464,6.218014699,501.7062048180321,-0.011303768346047,-1.609870608346047,663.9825376251667,-1.5996330838489667,686,0.7,0.30000000000000004,615.2996377830264,-1.6027043411980908,766
312,-0.02533637730165,5.800459857698351,330.4514856344647,-0.0107113445085425,-1.6092781845085424,462.8463307925013,-1.7320393731061912,209,0.7,0.30000000000000004,423.1278772450903,-1.6952110165268965,900
351,-0.151626061027,5.674170173973001,291.2465542687456,0.02372483073562625,-1.5748420092643738,403.31283913076635,-1.5750466487119823,702,0.7,0.30000000000000004,369.6929536721601,-1.5749852568776999,900
361,0.1407953436946,5.9665915786946,390.17352602541393,0.0442441296047825,-1.5543227103952175,588.8590502332652,-1.4575175668520766,109,0.7,0.30000000000000004,529.2533929709098,-1.486559109915019,NA
374,-0.588125240335625,5.237670994664375,188.2312000318691,0.03593383984105,-1.56263300015895,NA,NA,NA,NA,NA,NA,NA,NA
375,0.0202580347005375,5.846054269700538,345.8669867202116,-0.035034063742475,-1.633600903742475,NA,NA,NA,NA,NA,NA,NA,900
431,0.2760147727025,6.1018110077025005,446.66595353069437,0.00142163142626375,-1.597145208573736,NA,NA,NA,NA,NA,NA,NA,900
475,-0.3722238324375,5.4535724025625,233.59115878304277,0.0078619209566325,-1.5907049190433675,334.5839991843004,-1.2859372995185465,34,0.34,0.6599999999999999,267.9287245194704,-1.4870839284049282,NA
542,-0.118387320783475,5.707408914216526,301.08990691442045,-0.072345904265775,-1.670912744265775,NA,NA,NA,NA,NA,NA,NA,NA
603,0.0045816462841249996,5.830377881284125,340.4873185501544,-1.0847816014999999e-4,-1.5986753181601498,NA,NA,NA,NA,NA,NA,NA,NA
631,0.453252866625,6.2790491016250005,533.281326303977,-0.0156858570918875,-1.6142526970918873,644.8255932534424,-1.6439634762192503,132,0.7,0.30000000000000004,611.3623131686028,-1.6350502424810414,NA
746,-0.31950690041375,5.50628933458625,246.23573134241624,0.06790961499796624,-1.5306572250020336,397.3306967938246,-1.4473210196417776,31,0.31,0.69,293.0751706323528,-1.5048230013403543,900
747,-0.1447004971137875,5.681095737886213,293.2706016395358,0.05663245602243125,-1.5419343839775688,379.19148845616417,-1.408311015199249,47,0.47,0.53,333.65341844335114,-1.4791314006517584,900
763,0.0347559791291875,5.8605522141291875,350.9178723325212,-0.0019241294031437498,-1.6004909694031437,NA,NA,NA,NA,NA,NA,NA,NA
768,-0.4501136102125,5.3756826247875,216.0873285429767,0.053292449823175,-1.5452743901768249,NA,NA,NA,NA,NA,NA,NA,NA
805,0.1434838987135875,5.969280133713588,391.2239404328211,0.053815776679606,-1.544751063320394,668.6864263347256,-0.9493903859975534,47,0.47,0.53,521.6313088067162,-1.264931544978659,NA
815,-0.36895000075,5.45684623425,234.357150099753,0.007801757745834875,-1.590765082254165,395.62779377532627,-1.3514765545906453,175,0.7,0.30000000000000004,347.24660067265427,-1.423263112889701,900
818,-0.1520962132786875,5.673700021721313,291.10965622944235,0.054196065154775,-1.544370774845225,434.35054066804264,-1.1675422385340803,32,0.32,0.6799999999999999,336.9467392497944,-1.4237856432256586,NA
920,-0.346457998852625,5.479338236147376,239.68803799976283,-0.052945346319325,-1.651512186319325,NA,NA,NA,NA,NA,NA,NA,900
981,0.0871262010770875,5.912922436077088,369.7852516065849,0.05257824188991,-1.54598859811009,NA,NA,NA,NA,NA,NA,NA,NA
999,-0.014834146422425,5.8109620885775755,333.94025127550645,2.6218537069999995e-4,-1.5983046546292998,NA,NA,NA,NA,NA,NA,NA,NA
