variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
ln_DDS_rep[28],2.76750149825,2.772005,0.6621791161326994,0.6782820869999999,1.668395,3.868166,1.0005990959127744,3993.3192334507453,4015.9733557246304
ln_DDS_rep[29],1.4255951380615,1.41056,0.6730613630148912,0.6956537112,0.36330815000000005,2.53504,1.000273000009897,3999.2566861688942,3872.962283799716
ln_DDS_rep[30],2.1735283876000002,2.1783900000000003,0.6801927312308976,0.6909360780000003,1.0708,3.278925,1.000662286355818,4129.1135660802665,3909.2999155542707
ln_DDS_rep[31],2.6014446595,2.60316,0.6643044711199693,0.67361931,1.5196649999999998,3.715893,1.0014979498411367,4022.233310914238,3873.4946921244564
ln_DDS_rep[32],3.412930265,3.40976,0.6620188388110756,0.6740566769999999,2.2926670000000002,4.477264,0.9996749959532049,4212.053077141937,4016.1434572978483
ln_DDS_rep[33],1.971513096425,1.9701300000000002,0.6655877647958677,0.6651610769999999,0.8727361,3.053455,1.0003893325656352,3985.996277660554,3930.621002533209
ln_DDS_rep[34],2.177216511725,2.17523,0.6906515848409716,0.7027449869999999,1.0770870000000001,3.315378,1.0003232547308814,4027.139656331735,3728.159103858789
ln_DDS_rep[35],1.638154697175,1.6246299999999998,0.6657257491096935,0.671995863,0.56248065,2.7437499999999986,0.9997441176791076,4186.849925569671,3520.425515499207
ln_DDS_rep[36],1.394667252452,1.38895,0.6688229049167534,0.6580216166999998,0.29256350000000003,2.493492,1.0002140476145007,4094.5485607964797,3687.5544314990816
ln_DDS_rep[37],1.871714666625,1.8551199999999999,0.6728616415398153,0.6613211430000001,0.7694129000000002,3.0099655,1.0005151616156012,4179.350437350382,3809.196217105132
ln_DDS_rep[38],2.273445016725,2.2637799999999997,0.6617414552718143,0.6679409519999995,1.2000915,3.3550234999999997,1.0009131430787255,4012.0860051181403,4005.612826370013
ln_DDS_rep[39],1.341836427395,1.336625,0.6726755873400674,0.6547932551999999,0.21390665,2.4603469999999983,1.001569076751062,3764.1293702477437,4014.394870593633
ln_DDS_rep[40],2.593327915,2.6009149999999996,0.6831484705636653,0.6759099269999999,1.4615690000000001,3.7310945,1.0005933139645902,3966.0720862537432,4100.592563114939
ln_DDS_rep[41],2.05384762175,2.06085,0.6758774969757024,0.6847091579999999,0.9322497,3.164887,1.0001767516828484,3946.9424956111416,3888.889555598323
ln_DDS_rep[42],1.928872121895,1.9264450000000002,0.6806494776814253,0.6756652980000001,0.79387695,3.0561545,0.999750430529987,4066.8097299221076,3967.745830810476
ln_DDS_rep[43],1.4713200165625,1.4622899999999999,0.6676289307480477,0.6637748459999999,0.35664619999999997,2.566382,0.9998972902632683,4146.769187679173,3974.3025514095334
ln_DDS_rep[44],2.424449120825,2.426075,0.6730574042673688,0.6646051020000002,1.322383,3.5138779999999996,1.0004099026969764,3618.191428185496,3299.2053069523763
ln_DDS_rep[45],1.584058848806975,1.581985,0.6728624339675172,0.659393763,0.48189145,2.7036005,1.0004823998575922,3884.2497594232223,3884.8147137274213
ln_DDS_rep[46],1.5494384672975,1.55224,0.6752468404641184,0.6828114300000001,0.4292861000000001,2.654848,1.0004035405900435,3981.3551993099804,3878.85177527606
ln_DDS_rep[47],1.21616598041,1.2067350000000001,0.6796352328179642,0.6773280339,0.09900131500000006,2.3446659999999997,1.0002991566959134,3847.674926099099,4030.0788115598907
ln_DDS_rep[48],1.784853050824175,1.77969,0.6814135313296803,0.674130807,0.6563443000000001,2.8978389999999994,1.0000320141792371,4219.931788044351,3972.513377858979
ln_DDS_rep[49],2.1791091894125,2.16614,0.6714048041249058,0.6687637949999998,1.083939,3.2885514999999996,1.0020016265520066,3993.777775083644,3927.7949146442097
ln_DDS_rep[50],2.2306685885,2.2278000000000002,0.6631222683471546,0.6583930079999997,1.1432965000000002,3.345856499999998,1.0010578452824064,3455.790949206517,3535.503727058762
ln_DDS_rep[51],1.335034684295,1.334235,0.6809472483010205,0.6661470059999998,0.17280000000000004,2.4654084999999992,1.0004027035783603,4108.659737514611,3876.060392838307
ln_DDS_rep[52],1.26415003761325,1.25928,0.6691622958172926,0.6631640148,0.17939480000000005,2.382104499999999,0.9997110952466305,3768.336734870957,3809.6035711885756
ln_DDS_rep[53],1.3172385624725,1.321455,0.6683964455504501,0.6857380824,0.2174888,2.3983484999999996,1.000725444086348,3367.972175456961,3943.93485203656
ln_DDS_rep[54],1.327206466389,1.33743,0.6614203515264618,0.6602462580000001,0.23917175000000002,2.411883,1.0005681812908032,4050.7656140992726,4006.6406700554394
ln_DDS_rep[55],1.99644311565,1.990645,0.6732731399585089,0.6754799729999998,0.88843035,3.1352550000000003,0.9999873858821945,3996.996581312194,4036.0245989768164
ln_DDS_rep[56],1.67676918448,1.672835,0.6637587189704335,0.6499718399999999,0.5745175000000001,2.7909754999999996,1.0001749375633435,4009.4430819625377,4075.05681608403
ln_DDS_rep[57],1.9317752211,1.94165,0.6719974165266399,0.6493194959999999,0.82006145,3.042402999999999,1.0005834269533769,4438.810031971293,3364.969130469506
ln_DDS_rep[58],1.906055180075,1.9007049999999999,0.6608691969845932,0.6576294689999997,0.8482022,2.9844625,1.0009530076627506,3877.1829140813757,3774.7841320996044
ln_DDS_rep[59],1.68833968125225,1.692945,0.6617078023170608,0.6533002769999999,0.59906635,2.775859,0.9997196282073133,3571.2092803229257,3929.021565644949
ln_DDS_rep[60],1.8035561634175,1.8001800000000001,0.6720936789200185,0.669045489,0.7094931,2.926473999999999,1.0014053326295875,3705.8704831882374,3630.721106223614
ln_DDS_rep[61],1.7740184884125,1.768275,0.6769273576926421,0.6708690870000001,0.6573327000000001,2.9132839999999995,0.9999127488740248,4069.3164494761104,3750.7262111317737
ln_DDS_rep[62],1.902438576739,1.894955,0.6597441312954965,0.662143986,0.82797325,2.9851885,1.0012354873964253,3803.983611184459,3928.2237306606944
ln_DDS_rep[63],1.7693451349325,1.789135,0.6670295882797846,0.6628333949999998,0.65146305,2.856793,0.9999527287222145,3556.4894044452953,3254.64097959173
ln_DDS_rep[64],0.243198572555,0.2579655,0.6909867435351112,0.6894527367,-0.89651405,1.3677029999999997,1.0001690039548479,4110.278820777659,4000.89962713628
ln_DDS_rep[65],-0.47473876050225,-0.474204,0.6889688077745214,0.67436646627,-1.616456,0.6578986499999993,1.000589856358314,3892.8365315739484,3758.292313900473
ln_DDS_rep[66],0.66365096751775,0.6599539999999999,0.6637030845549505,0.6674279723999998,-0.4357532,1.7427369999999993,0.9995064963254991,3775.392556899783,3387.040482328274
ln_DDS_rep[67],2.222880612975,2.22419,0.6806198465431719,0.6847017449999998,1.0956945,3.3328989999999994,1.0002759126994016,4169.608463263865,3839.7848292646036
ln_DDS_rep[68],3.4636992275,3.46382,0.6875359741174673,0.6923816129999998,2.324121,4.603724499999999,1.0002261296983361,3948.45441832555,3463.2218312569894
ln_DDS_rep[69],2.491292827,2.4870200000000002,0.6622072393103052,0.6666214379999996,1.406869,3.6042359999999998,1.0003559036316918,3805.4166683268754,3841.3314780383353
ln_DDS_rep[70],2.036489247025,2.046075,0.6596833600523547,0.6520178280000001,0.9374271000000001,3.1276189999999993,1.000091352370257,3876.4509347946746,3928.864958384679
ln_DDS_rep[71],1.4441196792375,1.43715,0.6849329913865885,0.6902036735999999,0.3400917,2.5481214999999997,1.0007400072627974,3901.399976436437,3769.9808870119155
ln_DDS_rep[72],2.004808032635,1.998125,0.6661669672806135,0.6616102500000004,0.90493425,3.0876114999999995,1.0000118600700487,3913.321944049895,3932.371616695904
ln_DDS_rep[73],1.4383871949975,1.44009,0.6682151134106865,0.6585042029999999,0.32403695,2.5509414999999995,1.002184465124193,3946.2319536752552,3746.8340398756072
ln_DDS_rep[74],0.8607631548935,0.879382,0.6823076208552057,0.6545842086,-0.28070914999999996,1.964943999999999,1.0009230976252237,3838.276020755083,3890.015069086063
ln_DDS_rep[75],0.827133621274,0.805586,0.6699110684790787,0.6634375545,-0.25521039999999995,1.933232,1.0014201665890328,4118.310361030875,3606.284135666037
ln_DDS_rep[76],2.2314553585,2.242085,0.6652139532382015,0.6670291530000001,1.1414325,3.3191549999999994,1.00001152689038,3981.7297742564238,3774.140600856813
ln_DDS_rep[77],1.01763421463125,1.01943,0.6794889263805652,0.6746326670999999,-0.07766329999999996,2.1472045,1.0010547547064073,3589.727343304598,3834.415981709429
ln_DDS_rep[78],1.29976730752175,1.320665,0.6623098715183422,0.6465470339999999,0.20439130000000005,2.3720404999999998,0.9998394224032724,4100.471006176616,3330.741251275064
ln_DDS_rep[79],2.7855225435,2.7856249999999996,0.6661019574666801,0.6518547420000006,1.7140914999999999,3.8924649999999987,0.9999605699438219,4050.0477504612622,4054.607119673468
ln_DDS_rep[80],1.11198626338275,1.107955,0.67434482772872,0.6657096389999999,-0.009338726499999976,2.2452364999999994,1.0008548007455027,4063.699042057437,3613.346183667391
ln_DDS_rep[81],2.234683785725,2.238905,0.6600816628941982,0.6519511109999999,1.148349,3.3055884999999994,0.9998156320502966,4138.479886746529,4010.7298030487864
ln_DDS_rep[82],2.65969069775,2.666015,0.6708599008305967,0.6590231130000002,1.5466030000000002,3.7639405000000004,1.0005485842203476,3775.1852640238276,3929.1604963194904
ln_DDS_rep[83],1.475762444325,1.470265,0.6643559920689579,0.6747090209999999,0.4040389,2.5797529999999997,1.000041395682506,4139.5341641467785,3973.48305333782
ln_DDS_rep[84],1.3033235818,1.294435,0.6696727308455385,0.6797943389999999,0.21541475000000002,2.442311,1.0001032869522763,4212.656613522867,4047.788576119908
