PLOT,MEASYEAR,PUB_LAT,PUB_LONG,FIRST_CN,FIRST_PLTCN,COUNTYCD,FIRST_INVYR,ALL_TRTCD,CYCLE5_MMT,CYCLE6_MMT,CYCLE7_MMT,CYCLE8_MMT,2021
47,1999,44.81375,-69.00352,71959806010538,52764659010538,19,1999,0,0.17,0.202,0.215,0.241,0.193
48,2000,45.86676,-69.45904,71969998010538,52828217010538,21,2000,10,0.295,0.326,0.324,0.369,0.386
49,2001,47.03201,-68.63493,70134600010538,52861246010538,3,2001,0,0.305,0.335,0.348,0.355,0.346
50,2001,43.85917,-69.93176,70148360010538,52867459010538,5,2001,0,0.279,0.282,0.343,0.408,0.436
51,2000,44.50959,-70.40632,72006738010538,52793975010538,17,2000,10,0.124,0.008,0.013,0.021,0.032
52,2000,44.70491,-69.15141,72048716010538,52804757010538,19,2000,0,0.342,0.389,0.41,0.446,0.465
53,2001,46.63382,-67.9754,70132979010538,52909831010538,3,2001,0,0.026,0.059,0.098,0.147,0.178
54,2001,46.75827,-69.48578,70137672010538,52864355010538,3,2001,0,0.284,0.326,0.364,0.333,0.348
55,1999,43.90703,-69.97304,71947023010538,52724269010538,5,1999,0,0.223,0.366,0.397,0.408,0.29
56,2000,44.98208,-69.24308,72010131010538,52797428010538,19,2000,10,0.14,0.111,0.179,0.232,0.293
57,2000,47.16177,-69.34293,72028984010538,52772674010538,3,2000,0,0.3,0.296,0.273,0.316,0.002
58,2001,44.562,-69.94385,70160929010538,52880503010538,11,2001,10,0.168,0.212,0.271,0.316,0.172
59,2001,46.19692,-68.17979,70144760010538,52901521010538,3,2001,0,0.127,0.201,0.304,0.317,0.408
60,2001,46.89753,-69.24879,70139365010538,52866061010538,3,2001,0,0.239,0.329,0.341,0.418,0
61,2000,45.05495,-69.19359,72050065010538,52806140010538,19,2000,10,0.218,0.231,0.272,0.299,0.327
62,2000,45.04629,-69.58722,71969744010538,52827957010538,21,2000,0,0.152,0.163,0.161,0.181,0.24
63,2000,45.05211,-68.61022,72043698010538,52799518010538,19,2000,0,0.139,0.157,0.217,0.251,0.298
64,2001,46.39473,-69.63844,70180512010538,52914286010538,21,2001,10,0.093,0.132,0.161,0.072,0.082
65,1999,45.02929,-69.42343,71891729010538,52695075010538,25,1999,10,0.411,0.189,0.196,0.209,0.132
66,2001,45.08934,-71.04744,70163748010538,52883480010538,17,2001,30,0.061,0.006,0.021,0.072,0.153
67,2001,46.14358,-67.80277,70139696010538,52866384010538,3,2001,0,0.071,0.148,0.19,0.303,0.402
68,2000,46.57224,-69.96892,71979036010538,52837393010538,25,2000,0,0.07,0.109,0.164,0.195,0.229
69,2001,45.05913,-68.95072,70175055010538,52895288010538,19,2001,0,0.121,0.189,0.208,0.259,0.301
70,2000,45.5422,-67.58145,71992365010538,52851492010538,29,2000,10,0.086,0.143,0.137,0.139,0.094
71,1999,43.43493,-70.7151,71914124010538,52717945010538,31,1999,0,0.223,0.291,0.348,0.397,0.421
72,2000,45.65511,-69.0644,71972812010538,52831128010538,21,2000,10,0.352,0.383,0.091,0.119,0.164
73,1999,45.99459,-67.84537,71934080010538,52748548010538,3,1999,0,0.038,0.039,0.059,0.078,0.11
74,1999,44.46481,-69.15438,71903869010538,53213610010538,27,1999,10,0.015,0.038,0.063,0.092,0.117
75,2000,45.50129,-69.01055,71972750010538,52831064010538,21,2000,0,0.033,0.082,0.148,0.21,0.363
76,2000,46.0265,-69.53093,71971352010538,52829628010538,21,2000,50,0.002,0.014,0.026,0.02,0.006
77,1999,44.11048,-69.42583,71917953010538,52737738010538,15,1999,0,0.35,0.359,0.41,0.485,0.366
78,2000,44.25917,-70.8118,72009278010538,52796578010538,17,2000,10,0.275,0.332,0.029,0.072,0.152
79,1999,43.8629,-69.78851,71890825010538,52694263010538,23,1999,10,0.257,0.273,0,0.218,0.208
80,1999,46.78874,-67.91371,71929232010538,52743387010538,3,1999,0,0,0,0,0,0
81,2000,45.55615,-67.85714,71997729010538,52857057010538,29,2000,0,0.178,0.212,0.263,0.258,0.311
82,2000,46.02677,-68.94596,71973998010538,52832332010538,21,2000,0,0.139,0.171,0.17,0.17,0.167
83,1999,46.58278,-68.08921,71939157010538,52753763010538,3,1999,10,0.318,0.276,0.213,0.063,0.089
84,1999,44.6806,-70.88241,71923370010538,52758439010538,17,1999,0,0.393,0.41,0.502,0.459,0.518
85,1999,47.022,-67.8997,71938715010538,52753313010538,3,1999,50,0.226,0.259,0.27,0.295,0.214
86,1999,44.16024,-70.34481,72160390010538,52742076010538,1,1999,10,0.103,0.162,0.217,0.25,0.315
87,2000,44.45166,-69.29301,71990663010538,52849717010538,27,2000,10,0.475,0.352,0.378,0.426,0.341
88,2000,44.575,-70.93548,72008286010538,52795582010538,17,2000,0,0.334,0.32,0.387,0.404,0.369
89,1999,44.76643,-70.19418,71950505010538,52727826010538,7,1999,10,0.162,0.01,0.039,0.082,0.118
90,2000,45.59997,-69.11612,71968648010538,52826827010538,21,2000,10,0.026,0.042,0.107,0.185,0.205
91,2001,46.3345,-68.64727,70176008010538,52896269010538,19,2001,10,0.143,0.163,0.201,0.25,0.161
92,1999,45.90548,-68.88698,71882540010538,52686002010538,21,1999,0,0.032,0.041,0.074,0.112,0.13
93,1999,45.04645,-68.24393,71957090010538,52734418010538,9,1999,0,0.082,0.138,0.17,0.227,0.323
94,2000,46.3148,-69.54612,71889725010538,52693208010538,21,1999,0,0.152,0.167,0.194,0.208,0.183
95,2000,44.13296,-69.90898,72000636010538,52787591010538,11,2000,0,0,0,0,0,0
96,2001,45.25289,-68.17946,70170409010538,52890451010538,19,2001,0,0.001,0.002,0.003,0.002,0.003
97,2001,45.04931,-68.75709,70167753010538,52887576010538,19,2001,0,0.035,0.032,0.036,0.03,0.025
98,2001,45.29501,-68.96633,70177737010538,52911368010538,21,2001,0,0.242,0.251,0.278,0.296,0.295
99,1999,45.33015,-68.00112,71961099010538,52765981010538,19,1999,0,0.076,0.079,0.132,0.208,0.215
100,2000,44.81457,-67.01218,71993444010538,52852604010538,29,2000,0,0.102,0.068,0.086,0.101,0.126
101,1999,45.14929,-70.87762,71920488010538,52740348010538,17,1999,0,0.392,0.41,0.397,0.421,0.474
102,2000,45.84305,-69.27339,71966250010538,52824181010538,21,2000,0,0.322,0,0,0,0
103,2001,44.12594,-69.5234,70162285010538,52881922010538,15,2001,0,0.13,0.179,0.226,0.235,0.258
104,2000,46.72693,-68.57857,72020927010538,52816382010538,3,2000,10,0.167,0.176,0.199,0.229,0.261
105,2001,45.04142,-69.51703,70182786010538,52916756010538,21,2001,0,0.145,0.176,0.191,0.208,0.216
106,2000,45.91528,-68.28411,72024093010538,52820733010538,3,2000,10,0.192,0.199,0.084,0.125,0.192
107,2000,45.11335,-70.30611,72036035010538,52779909010538,7,2000,0,0.482,0.49,0.503,0.502,0.604
108,1999,45.12068,-68.17936,71957004010538,52734331010538,9,1999,10,0.163,0.182,0.24,0.288,0.392
109,1999,44.03527,-70.05233,72159772010538,52741452010538,1,1999,10,0.313,0.343,0.366,0.409,0.414
110,1999,44.65729,-70.77369,71922991010538,52758055010538,17,1999,0,0.501,0.527,0.55,0.588,0.643
111,1999,45.80178,-70.36866,71893160010538,52696546010538,25,1999,10,0.376,0.36,0.389,0.432,0.466
112,2000,45.12038,-69.84447,71984227010538,52842990010538,25,2000,0,0.351,0.368,0.375,0.409,0.423
113,2000,44.3924,-70.13072,72011692010538,52806601010538,1,2000,10,0.055,0.072,0.017,0.022,0.03
114,2000,44.46617,-69.60057,71915495010538,52735266010538,11,1999,10,0.287,0.301,0.318,0.206,0
115,2001,44.83355,-70.88553,70166737010538,52886558010538,17,2001,10,0.232,0.262,0.242,0.245,0.229
116,2000,43.82675,-70.44149,72033124010538,52776837010538,5,2000,0,0,0,0,0,0
117,2001,44.13285,-70.86344,70163122010538,52882816010538,17,2001,10,0.221,0.26,0.269,0.233,0.062
118,2001,46.75465,-68.90679,70142282010538,52898872010538,3,2001,10,0.282,0.293,0.355,0.164,0.193
119,2000,44.63043,-68.94583,71990228010538,52849234010538,27,2000,10,0.145,0.175,0.25,0.276,0.334
120,1999,44.32489,-68.64449,71953917010538,52731205010538,9,1999,0,0,0,0,0,0
121,2000,45.84856,-69.91982,71982789010538,52841401010538,25,2000,10,0.339,0.215,0.045,0.049,0.089
122,2001,46.11759,-68.20632,70141368010538,52897902010538,3,2001,0,0.273,0.293,0.353,0.401,0.442
123,2001,46.15654,-69.25493,70187945010538,52922003010538,21,2001,50,0.029,0.079,0.153,0.259,0.326
124,2001,46.74492,-68.35004,70134330010538,52860971010538,3,2001,10,0.457,0.215,0.041,0.018,0.027
125,2000,46.15568,-69.86035,71978403010538,52836804010538,25,2000,10,0.537,0.129,0.102,0.157,0.245
126,1999,44.73544,-70.52928,71950281010538,52727597010538,7,1999,0,0.347,0.377,0.326,0.36,0.254
127,2000,43.47718,-70.83618,71999529010538,52858862010538,31,2000,10,0.455,0.464,0.535,0.224,0.244
128,1999,45.8953,-69.88728,71892876010538,52696251010538,25,1999,10,0.264,0.24,0.293,0.318,0.37
129,2001,46.20923,-69.3931,70181274010538,52915081010538,21,2001,0,0.19,0.176,0.103,0.06,0.031
130,2001,44.99047,-67.98495,70201688010538,52936317010538,29,2001,0,0.127,0.104,0.125,0.115,0.131
131,2000,44.45127,-70.99455,71924700010538,52759786010538,17,1999,10,0.113,0.072,0.088,0.155,0.214
132,1999,44.82142,-70.00662,71897492010538,52700981010538,25,1999,10,0.139,0.158,0.211,0.156,0.256
133,1999,44.68945,-70.24505,71951555010538,52728887010538,7,1999,10,0.041,0.071,0.089,0.141,0.238
134,1999,44.85901,-67.30806,71907492010538,52711233010538,29,1999,10,0.095,0.118,0.132,0.11,0.17
135,2000,45.26267,-70.76192,72033616010538,52777368010538,7,2000,0,0.182,0.181,0.15,0.117,0.103
136,1999,46.58196,-69.91342,71946638010538,52723878010538,3,1999,10,0.137,0.14,0.15,0.153,0.158
137,2001,44.23516,-69.82715,70159809010538,52879339010538,11,2001,0,0.057,0.068,0.076,0.066,0.085
138,2000,45.44653,-69.84903,71985136010538,52843907010538,25,2000,0,0.104,0.103,0.077,0.076,0.067
139,1999,46.56787,-69.23178,71888130010538,52691593010538,21,1999,10,0.235,0.24,0.297,0.347,0.469
140,2001,44.84648,-67.22527,70122106010538,52939351010538,29,2001,10,0.122,0.095,0.127,0.139,0.182
141,2000,45.93652,-68.83087,71972551010538,52830863010538,21,2000,0,0.258,0.302,0.329,0.355,0.376
142,2001,44.88655,-67.47946,70125311010538,52942606010538,29,2001,10,0.109,0.159,0.116,0.113,0.144
143,1999,45.25597,-69.2544,71882937010538,52686418010538,21,1999,10,0.181,0.208,0.26,0.165,0.21
144,2000,47.03107,-69.48578,72030305010538,52774013010538,3,2000,0,0.256,0.199,0.213,0.17,0.124
145,2001,43.53738,-70.38634,70125463010538,52942757010538,31,2001,10,0.085,0.047,0.054,0.025,0.028
146,2000,44.93246,-69.59132,71989119010538,52847954010538,25,2000,0,0,0,0,0,0
147,1999,45.70015,-69.05067,71882781010538,52686254010538,21,1999,0,0.19,0.19,0.224,0.209,0.245
148,2001,43.97257,-69.63276,70161919010538,52881523010538,15,2001,10,0.077,0.085,0.026,0.033,0.019
149,2000,45.96274,-69.6971,71985341010538,52844116010538,25,2000,0,0.004,0.092,0.208,0.317,0.422
150,2000,44.35842,-69.72985,72000765010538,52787725010538,11,2000,0,0.271,0.269,0.368,0.449,0.495
151,1999,46.10399,-68.52436,71925201010538,52760280010538,19,1999,10,0.127,0.178,0.06,0.094,0.129
152,2000,43.86411,-70.32554,72031897010538,52775553010538,5,2000,0,0.175,0.205,0.256,0.278,0.311
153,1999,46.0537,-68.17363,71936988010538,52751585010538,3,1999,0,0.247,0.297,0.318,0.373,0.085
154,2000,46.7429,-67.9099,72024371010538,52821016010538,3,2000,0,0,0,0,0,0
155,2001,44.83778,-69.87481,70193160010538,52927494010538,25,2001,0,0,0,0,0,0
156,2000,46.16494,-70.02283,71987713010538,52846522010538,25,2000,10,0.161,0.232,0.227,0.242,0.065
157,2000,44.29536,-69.22013,72001762010538,52788746010538,13,2000,0,0,0,0,0,0
158,1999,44.23844,-69.11716,71916885010538,52736662010538,13,1999,0,0,0,0,0,0
159,1999,46.94999,-69.18779,71935179010538,52749718010538,3,1999,10,0.124,0.142,0.125,0.149,0.177
160,1999,45.87333,-69.11964,71885905010538,52689365010538,21,1999,0,0.335,0.308,0.281,0.283,0.315
161,2001,46.31537,-68.46209,70175358010538,52895603010538,19,2001,10,0.261,0.298,0.346,0.389,0.046
162,2001,46.14208,-69.00089,70181998010538,52915853010538,21,2001,0,0.088,0.09,0.105,0.099,0.081
163,2000,45.61054,-69.31389,71974450010538,52832790010538,21,2000,10,0.284,0.257,0.277,0.302,0.287
164,2000,45.30881,-70.53428,72033854010538,52777609010538,7,2000,0,0.095,0.159,0.244,0.318,0.379
165,1999,45.56468,-69.77216,71897795010538,52701286010538,25,1999,0,0.245,0.248,0.263,0.305,0.32
166,2001,47.026,-68.02643,70134006010538,52860641010538,3,2001,10,0.051,0.071,0.115,0.169,0.194
167,2000,44.73033,-68.47001,72041925010538,52785962010538,9,2000,10,0.109,0.071,0.189,0.223,0.296
168,2000,47.28213,-68.26912,72016111010538,52811316010538,3,2000,10,0.077,0.092,0.125,0.173,0.181
169,1999,45.53197,-67.9556,71905643010538,52709259010538,29,1999,0,0.161,0.136,0.181,0.146,0.171
170,2000,47.07276,-68.15055,72017873010538,52813192010538,3,2000,10,0.174,0.164,0.201,0.001,0
171,2000,47.1223,-69.00171,72027364010538,52771030010538,3,2000,0,0.263,0.318,0.331,0.382,0.384
172,2000,44.08043,-68.82491,72002354010538,52789386010538,13,2000,10,0.148,0.144,0.146,0.154,0.166
173,1999,45.05531,-69.41798,71891866010538,52695214010538,25,1999,10,0.239,0.107,0.145,0.178,0.221
174,1999,45.49019,-68.06919,71960977010538,52765858010538,19,1999,10,0.1,0.169,0.176,0.176,0.232
175,2000,45.17567,-68.8849,71968324010538,52826493010538,21,2000,0,0.172,0.248,0.269,0.29,0.294
176,2000,46.68326,-69.30082,72027812010538,52771487010538,3,2000,50,0.115,0.214,0.294,0.263,0.33
177,2000,44.77695,-67.24746,71994601010538,52853808010538,29,2000,0,0.189,0.224,0.319,0.327,0.325
178,1999,46.3844,-68.88022,71886601010538,52690068010538,21,1999,0,0.055,0.097,0.153,0.197,0.232
179,1999,47.12838,-69.23685,71944066010538,52721344010538,3,1999,20,0.001,0.009,0.021,0.057,0.127
180,1999,46.26143,-69.78756,71898993010538,52702496010538,25,1999,10,0.102,0.143,0.11,0.15,0.181
181,2000,45.44996,-68.05625,72046208010538,52802135010538,19,2000,10,0.083,0.127,0.101,0.161,0.261
182,2001,47.34667,-69.18892,70131243010538,52908048010538,3,2001,0,0.144,0.168,0.177,0.173,0.162
183,1999,45.72868,-68.41295,71938112010538,52752704010538,3,1999,10,0.082,0.016,0.053,0.124,0.216
184,1999,46.81758,-68.70829,71942309010538,52719561010538,3,1999,10,0.318,0.218,0.239,0.266,0.282
185,2001,45.39772,-67.46192,70121573010538,52938761010538,29,2001,10,0.109,0.147,0.163,0.199,0.192
186,1999,45.08834,-70.37138,71950227010538,52727542010538,7,1999,0,0,0.011,0.029,0.074,0.131
187,2000,46.31334,-68.09916,72013718010538,52808772010538,3,2000,10,0.187,0.218,0.276,0.188,0.156
188,1999,45.0122,-69.05745,71957547010538,52762286010538,19,1999,0,0,0,0,0,0
189,2001,46.88312,-68.15827,70132920010538,52909770010538,3,2001,10,0.031,0.045,0.042,0.07,0.069
190,2000,45.4598,-70.03184,71980843010538,52839314010538,25,2000,10,0.052,0.091,0.127,0.221,0.303
191,1999,45.38196,-70.73913,71949046010538,52726333010538,7,1999,50,0.013,0.018,0.043,0.06,0.109
192,2000,44.43824,-70.44051,72004178010538,52791296010538,17,2000,10,0.359,0.342,0.362,0.382,0.403
193,2000,44.72271,-69.06343,72048565010538,52804604010538,19,2000,10,0.233,0.182,0.224,0.214,0.25
194,2001,46.01056,-69.90327,70191320010538,52925506010538,25,2001,50,0.003,0.024,0.076,0.129,0.208
195,1999,46.01533,-69.00075,71885446010538,52688897010538,21,1999,0,0.183,0.269,0.35,0.382,0.419
196,2000,45.21192,-68.65362,72047880010538,52803907010538,19,2000,10,0.225,0.25,0.133,0.173,0.209
197,2001,45.91116,-68.15683,70128888010538,52905438010538,3,2001,10,0.02,0.041,0.092,0.132,0.182
198,2000,45.9832,-69.79527,71985415010538,52844192010538,25,2000,10,0.298,0.347,0.131,0.114,0.088
199,2000,46.95922,-69.54266,72030470010538,52774180010538,3,2000,10,0.206,0.305,0.342,0.17,0.188
200,1999,44.43861,-70.70176,71922099010538,52757154010538,17,1999,10,0.362,0.381,0.29,0.36,0.254
201,2001,45.49964,-68.9449,70177154010538,52910764010538,21,2001,10,0.22,0.065,0.09,0.139,0.185
202,2000,46.68631,-69.78942,72029803010538,52773505010538,3,2000,0,0.16,0.183,0.176,0.197,0.214
203,1999,46.9889,-68.13383,71946016010538,52723284010538,3,1999,10,0.266,0.141,0.16,0.197,0.223
204,1999,47.27486,-69.12861,71946761010538,52723999010538,3,1999,10,0.228,0.054,0.065,0.103,0.116
205,1999,44.83859,-67.42162,71906806010538,52710456010538,29,1999,0,0.265,0.278,0.293,0.3,0.331
206,2000,44.81661,-67.42427,71994789010538,52853998010538,29,2000,0,0.019,0.015,0.021,0.024,0.033
207,2000,45.49741,-68.42309,72047365010538,52803384010538,19,2000,0,0.333,0.395,0.416,0.475,0.279
208,1999,45.46594,-70.42978,71895048010538,52698506010538,25,1999,10,0.322,0.207,0.198,0.207,0.222
209,2000,43.67561,-70.49009,72033140010538,52776854010538,5,2000,0,0.106,0,0,0,0
210,1999,44.27866,-69.28741,71916819010538,52736598010538,13,1999,0,0.018,0.03,0.043,0.053,0.061
211,1999,46.31191,-69.36544,71876950010538,52680088010538,21,1999,0,0.306,0.258,0.242,0.273,0.306
212,2001,46.60372,-69.61589,70131411010538,52908227010538,3,2001,10,0.013,0.007,0.002,0,0
213,2001,45.8653,-69.85159,70193305010538,52927642010538,25,2001,0,0.18,0.204,0.222,0.221,0.261
214,2000,44.92661,-67.68635,71993675010538,52852839010538,29,2000,10,0.159,0.075,0.123,0.174,0.215
215,2001,45.10882,-70.65291,70153455010538,52872774010538,7,2001,10,0.072,0.087,0.082,0.124,0.147
216,1999,45.04936,-67.65003,71910795010538,52714599010538,29,1999,10,0.098,0.148,0.083,0.114,0.141
217,2001,44.62879,-70.65019,70163924010538,52883686010538,17,2001,10,0.132,0.145,0.171,0.185,0.047
218,1999,45.82641,-69.72528,71899535010538,52703046010538,25,1999,0,0.073,0.11,0.152,0.192,0.189
219,2000,44.40633,-69.52773,72001002010538,52787976010538,11,2000,10,0.25,0.274,0.276,0.299,0.318
220,1999,43.68409,-70.87732,71913093010538,52716901010538,31,1999,0,0.139,0.167,0.211,0.255,0
221,2001,45.98764,-68.95677,70184302010538,52918304010538,21,2001,0,0.271,0.287,0.311,0.387,0.402
222,2000,45.44591,-69.46682,71974836010538,52833182010538,21,2000,0,0.039,0.091,0.158,0.205,0.274
223,1999,44.98562,-69.89216,71893958010538,52697391010538,25,1999,0,0,0,0,0,0
224,2000,43.84062,-69.74197,71977618010538,52835971010538,23,2000,0,0.281,0.212,0.304,0.331,0.347
225,1999,45.50029,-68.6491,71958070010538,52762825010538,19,1999,0,0.222,0.206,0.212,0.213,0.243
226,2000,44.42647,-68.56209,72038241010538,52782065010538,9,2000,0,0.314,0.295,0.332,0.33,0.312
227,1999,45.77118,-69.59881,71887713010538,52691171010538,21,1999,10,0.298,0.31,0.335,0.319,0.426
228,1999,45.4145,-69.71715,71882676010538,52686145010538,21,1999,0,0.032,0.11,0.24,0.323,0.393
229,2000,44.59003,-68.02241,72038660010538,52782529010538,9,2000,10,0.181,0.211,0.095,0.117,0.162
230,1999,45.25897,-69.12843,71878678010538,52681907010538,21,1999,0,0.321,0.3,0.334,0.395,0.321
231,1999,45.20788,-68.90967,71882340010538,52685803010538,21,1999,10,0.28,0.302,0.056,0.086,0.118
232,2001,45.65948,-68.24093,70128949010538,52905555010538,3,2001,10,0.005,0.015,0.067,0.088,0.162
233,2001,44.7505,-68.2977,70155016010538,52874408010538,9,2001,0,0.063,0.069,0.089,0.111,0.122
234,2001,43.95515,-70.04451,70148345010538,52867443010538,5,2001,0,0,0,0,0,0
235,1999,44.47701,-70.46535,71921789010538,52756842010538,17,1999,0,0.319,0.285,0.272,0.319,0.371
236,1999,45.28115,-67.65695,71910570010538,52714372010538,29,1999,0,0.224,0.217,0.24,0.238,0.195
237,2000,44.56834,-69.59235,72001185010538,52788166010538,11,2000,0,0,0,0,0,0
238,2001,45.34155,-70.66247,70149828010538,52869032010538,7,2001,0,0.166,0.207,0.264,0.284,0.092
239,2000,44.61764,-69.38702,71989645010538,52848569010538,27,2000,0,0.134,0.172,0.198,0.199,0.241
240,2000,44.49149,-68.01418,72038804010538,52782713010538,9,2000,0,0.113,0,0,0,0
241,2000,43.29027,-70.60043,71999249010538,52858573010538,31,2000,0,0,0,0,0,0
242,1999,45.77291,-68.41086,71938472010538,52753066010538,3,1999,10,0.257,0.253,0.256,0.301,0.313
243,2001,45.60511,-68.47807,70173565010538,52893774010538,19,2001,10,0.26,0.277,0.329,0.385,0.174
244,2000,45.21952,-69.2365,71972453010538,52830763010538,21,2000,10,0.139,0.189,0.218,0.193,0.047
245,1999,46.24273,-69.00174,71885118010538,52688565010538,21,1999,50,0.193,0.226,0.06,0.092,0.154
246,2000,46.40673,-69.97767,71987275010538,52846078010538,25,2000,0,0.328,0.321,0.361,0.403,0.477
247,2000,44.34095,-70.52676,72007179010538,52794422010538,17,2000,10,0.14,0.128,0.205,0.261,0
248,2000,47.18576,-68.75271,72021347010538,52816812010538,3,2000,0,0.166,0.2,0.245,0.265,0.088
249,1999,46.10584,-69.11782,71887137010538,52690609010538,21,1999,10,0.225,0.259,0.302,0.17,0.134
250,1999,47.21953,-68.76635,71936475010538,52751066010538,3,1999,0,0.004,0.003,0.005,0.007,0.011
251,2001,44.37182,-69.70381,70160645010538,52880209010538,11,2001,0,0.011,0.011,0.008,0.009,0.011
252,2000,45.83179,-68.09863,72018853010538,52814189010538,3,2000,0,0.064,0.106,0.129,0.168,0.233
253,1999,47.07815,-68.43281,71929926010538,52744153010538,3,1999,0,0.104,0.099,0.099,0.14,0.19
254,1999,46.14499,-69.60428,71888951010538,52692419010538,21,1999,0,0.288,0.33,0.345,0.334,0.288
