variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
EC,2,73,WL,648,426.51129536852034,-34.180355653006124,-221.48870463147966
EC,3,202,DF,766,548.5597014337932,-28.386461953812905,-217.44029856620682
EC,4,11,SF,766,669.6209654437689,-12.58211939376385,-96.37903455623109
EC,5,242,RC,766,639.1492965750297,-16.560144050257225,-126.85070342497033
EC,6,17,GF,766,445.4792586159066,-41.843438822988695,-320.5207413840934
EC,7,108,LP,674,374.3688782584515,-44.45565604474013,-299.6311217415485
EC,8,93,ES,766,443.5760246874678,-42.09190278231491,-322.4239753125322
EC,9,19,AF,700,506.6304232232647,-27.62422525381933,-193.3695767767353
EC,10,122,PP,645,306.6699247431191,-52.45427523362494,-338.3300752568809
EC,11,263,WH,900,629.9805562872888,-30.00216041252347,-270.0194437127112
EC,12,264,MH,766,615.2996377830264,-19.673676529631024,-150.70036221697364
EC,13,231,PY,900,NA,NA,NA
EC,14,101,WB,900,269.30928059270235,-70.07674660081084,-630.6907194072976
EC,15,22,NF,900,670.2539811970305,-25.527335422552166,-229.7460188029695
EC,16,15,WF,766,507.22839698479254,-33.78219360511847,-258.77160301520746
EC,17,72,LL,900,NA,NA,NA
EC,18,42,YC,900,602.1862924352936,-33.090411951634046,-297.8137075647064
EC,19,64,WJ,900,215.25289380682423,-76.08301179924176,-684.7471061931758
EC,20,312,BM,900,423.1278772450903,-52.98579141721219,-476.8721227549097
EC,21,324,VN,900,NA,NA,NA
EC,22,351,RA,900,369.6929536721601,-58.923005147537765,-530.3070463278399
EC,23,375,PB,900,NA,NA,NA
EC,24,431,GC,900,NA,NA,NA
EC,25,492,DG,900,NA,NA,NA
EC,26,746,AS,900,293.0751706323528,-67.43609215196079,-606.9248293676471
EC,27,747,CW,900,333.65341844335114,-62.927397950738765,-566.3465815566489
EC,28,815,WO,900,347.24660067265427,-61.41704436970508,-552.7533993273457
EC,29,760,PL,900,NA,NA,NA
EC,30,920,WI,900,NA,NA,NA
EC,31,299,OS,766,NA,NA,NA
