n,variant,metric,model,value,component,level
30000,CI,rmse,baseline,13.03774118568259,Height_Diameter,tree
30000,CI,bias,baseline,-1.115073196348156,Height_Diameter,tree
30000,CI,r2,baseline,0.739985958132859,Height_Diameter,tree
30000,CR,rmse,calibrated,7.3879953169439245,Height_Diameter,tree
30000,CR,bias,calibrated,-0.09459800317641323,Height_Diameter,tree
30000,CR,r2,calibrated,0.8627740538630294,Height_Diameter,tree
30000,CR,rmse,baseline,7.7546848682535385,Height_Diameter,tree
30000,CR,bias,baseline,-1.0814905424324714,Height_Diameter,tree
30000,CR,r2,baseline,0.8488140899371134,Height_Diameter,tree
30000,CS,rmse,calibrated,9.099205103764369,Height_Diameter,tree
30000,CS,bias,calibrated,-0.10431760131222981,Height_Diameter,tree
30000,CS,r2,calibrated,0.8023385736219264,Height_Diameter,tree
30000,CS,rmse,baseline,9.513673832328179,Height_Diameter,tree
30000,CS,bias,baseline,-0.719555848919232,Height_Diameter,tree
30000,CS,r2,baseline,0.7839215121605024,Height_Diameter,tree
30000,EC,rmse,calibrated,13.358932850198,Height_Diameter,tree
30000,EC,bias,calibrated,0.12894304833144038,Height_Diameter,tree
30000,EC,r2,calibrated,0.842302792010106,Height_Diameter,tree
30000,EC,rmse,baseline,15.402797261216007,Height_Diameter,tree
30000,EC,bias,baseline,-0.842234074934196,Height_Diameter,tree
30000,EC,r2,baseline,0.790357336513733,Height_Diameter,tree
30000,EM,rmse,calibrated,9.627658281525873,Height_Diameter,tree
30000,EM,bias,calibrated,-0.08109786480015545,Height_Diameter,tree
30000,EM,r2,calibrated,0.7495786549830092,Height_Diameter,tree
30000,EM,rmse,baseline,10.197089868031183,Height_Diameter,tree
30000,EM,bias,baseline,-1.0839157292141153,Height_Diameter,tree
30000,EM,r2,baseline,0.7190801014787482,Height_Diameter,tree
30000,IE,rmse,calibrated,11.534306859076189,Height_Diameter,tree
30000,IE,bias,calibrated,0.10710530271068386,Height_Diameter,tree
30000,IE,r2,calibrated,0.82376024766452,Height_Diameter,tree
30000,IE,rmse,baseline,12.9832724531704,Height_Diameter,tree
30000,IE,bias,baseline,-0.8010691534795523,Height_Diameter,tree
30000,IE,r2,baseline,0.7766997480522465,Height_Diameter,tree
30000,KT,rmse,calibrated,11.049143321494487,Height_Diameter,tree
30000,KT,bias,calibrated,-0.055693799603527876,Height_Diameter,tree
30000,KT,r2,calibrated,0.7743603820168262,Height_Diameter,tree
30000,KT,rmse,baseline,11.887991547550783,Height_Diameter,tree
30000,KT,bias,baseline,-1.1342747537922218,Height_Diameter,tree
30000,KT,r2,baseline,0.7387988305045997,Height_Diameter,tree
30000,LS,rmse,calibrated,8.40830478140663,Height_Diameter,tree
30000,LS,bias,calibrated,0.05918672658099675,Height_Diameter,tree
30000,LS,r2,calibrated,0.8059464004337471,Height_Diameter,tree
30000,LS,rmse,baseline,9.25840082947923,Height_Diameter,tree
30000,LS,bias,baseline,-0.5716224408598131,Height_Diameter,tree
30000,LS,r2,baseline,0.7647244647302401,Height_Diameter,tree
30000,NC,rmse,calibrated,15.47046990519619,Height_Diameter,tree
30000,NC,bias,calibrated,0.07507971490071846,Height_Diameter,tree
30000,NC,r2,calibrated,0.8899817541105752,Height_Diameter,tree
30000,NC,rmse,baseline,16.39072460000152,Height_Diameter,tree
30000,NC,bias,baseline,-1.2760311594711755,Height_Diameter,tree
30000,NC,r2,baseline,0.876503681201136,Height_Diameter,tree
30000,NE,rmse,calibrated,9.176060941046597,Height_Diameter,tree
30000,NE,bias,calibrated,-0.04742598390775997,Height_Diameter,tree
30000,NE,r2,calibrated,0.8049411942180461,Height_Diameter,tree
30000,NE,rmse,baseline,9.66392887331921,Height_Diameter,tree
30000,NE,bias,baseline,-0.705194224098077,Height_Diameter,tree
30000,NE,r2,baseline,0.7836482400648126,Height_Diameter,tree
30000,OC,rmse,calibrated,13.546471066876876,Height_Diameter,tree
30000,OC,bias,calibrated,-0.07827872154490642,Height_Diameter,tree
30000,OC,r2,calibrated,0.8793420250025614,Height_Diameter,tree
30000,OC,rmse,baseline,14.850915768074529,Height_Diameter,tree
30000,OC,bias,baseline,-1.6386989087811439,Height_Diameter,tree
30000,OC,r2,baseline,0.8549859257441532,Height_Diameter,tree
30000,ON,rmse,calibrated,6.915950745254673,Height_Diameter,tree
30000,ON,bias,calibrated,-0.055773648231931705,Height_Diameter,tree
30000,ON,r2,calibrated,0.8313220053317224,Height_Diameter,tree
30000,ON,rmse,baseline,7.580083477171425,Height_Diameter,tree
30000,ON,bias,baseline,-0.46980763318173396,Height_Diameter,tree
30000,ON,r2,baseline,0.7973705232922252,Height_Diameter,tree
30000,OP,rmse,calibrated,15.19679214405434,Height_Diameter,tree
30000,OP,bias,calibrated,0.10182420955419119,Height_Diameter,tree
30000,OP,r2,calibrated,0.879432077972975,Height_Diameter,tree
30000,OP,rmse,baseline,16.634025716761325,Height_Diameter,tree
30000,OP,bias,baseline,-1.1165191610449487,Height_Diameter,tree
30000,OP,r2,baseline,0.8555482969817614,Height_Diameter,tree
30000,PN,rmse,calibrated,16.576336154798213,Height_Diameter,tree
30000,PN,bias,calibrated,0.054240475533742324,Height_Diameter,tree
30000,PN,r2,calibrated,0.8616078730899827,Height_Diameter,tree
30000,PN,rmse,baseline,18.242767163175667,Height_Diameter,tree
30000,PN,bias,baseline,-1.3548278487089387,Height_Diameter,tree
30000,PN,r2,baseline,0.8323839030298931,Height_Diameter,tree
30000,SN,rmse,calibrated,9.975598098039875,Height_Diameter,tree
30000,SN,bias,calibrated,-0.2285653150663304,Height_Diameter,tree
30000,SN,r2,calibrated,0.8056182308430567,Height_Diameter,tree
30000,SN,rmse,baseline,10.656294530772442,Height_Diameter,tree
30000,SN,bias,baseline,-0.8753861891337362,Height_Diameter,tree
30000,SN,r2,baseline,0.7781854277217785,Height_Diameter,tree
30000,SO,rmse,calibrated,10.595188481086598,Height_Diameter,tree
30000,SO,bias,calibrated,0.21529864082618808,Height_Diameter,tree
30000,SO,r2,calibrated,0.8696863980938716,Height_Diameter,tree
30000,SO,rmse,baseline,11.361998644136465,Height_Diameter,tree
30000,SO,bias,baseline,-1.1376887248907137,Height_Diameter,tree
30000,SO,r2,baseline,0.8501413412225377,Height_Diameter,tree
2005,TT,rmse,calibrated,3.6062140505626905,Height_Diameter,tree
2005,TT,bias,calibrated,0.025653379312734318,Height_Diameter,tree
2005,TT,r2,calibrated,0.8022981049797717,Height_Diameter,tree
2005,TT,rmse,baseline,3.9757301597306274,Height_Diameter,tree
2005,TT,bias,baseline,-0.5040660546819976,Height_Diameter,tree
2005,TT,r2,baseline,0.7597067172503179,Height_Diameter,tree
30000,UT,rmse,calibrated,6.138113303041238,Height_Diameter,tree
30000,UT,bias,calibrated,0.09308352419638764,Height_Diameter,tree
30000,UT,r2,calibrated,0.8627634595059844,Height_Diameter,tree
30000,UT,rmse,baseline,6.635682444919814,Height_Diameter,tree
30000,UT,bias,baseline,-0.9593786254294904,Height_Diameter,tree
30000,UT,r2,baseline,0.8396122670008178,Height_Diameter,tree
30000,WC,rmse,calibrated,15.764591571249724,Height_Diameter,tree
30000,WC,bias,calibrated,0.21550882149528267,Height_Diameter,tree
30000,WC,r2,calibrated,0.8922108309159905,Height_Diameter,tree
30000,WC,rmse,baseline,18.819008720870357,Height_Diameter,tree
30000,WC,bias,baseline,-0.506460708493101,Height_Diameter,tree
30000,WC,r2,baseline,0.846395774087377,Height_Diameter,tree
30000,WS,rmse,calibrated,13.505968558100506,Height_Diameter,tree
30000,WS,bias,calibrated,-0.042740024466497814,Height_Diameter,tree
30000,WS,r2,calibrated,0.8791850723688122,Height_Diameter,tree
30000,WS,rmse,baseline,14.829064936448722,Height_Diameter,tree
30000,WS,bias,baseline,-1.8933888295574695,Height_Diameter,tree
30000,WS,r2,baseline,0.8543546366563648,Height_Diameter,tree
NA,ACD,auc,calibrated,0.9335181136985549,Mortality,tree
NA,ACD,brier_score,calibrated,0.023316087937662055,Mortality,tree
NA,ACD,overall_mort_rate,calibrated,0.04854718397230684,Mortality,tree
NA,AK,auc,calibrated,0.8831066964296228,Mortality,tree
NA,AK,brier_score,calibrated,0.04603150923853605,Mortality,tree
NA,AK,overall_mort_rate,calibrated,0.06859861370437625,Mortality,tree
NA,BC,auc,calibrated,0.9313196600939481,Mortality,tree
NA,BC,brier_score,calibrated,0.0221231909887381,Mortality,tree
NA,BC,overall_mort_rate,calibrated,0.044881285243284275,Mortality,tree
NA,BM,auc,calibrated,0.7405780350820129,Mortality,tree
NA,BM,brier_score,calibrated,0.06240465375423413,Mortality,tree
NA,BM,overall_mort_rate,calibrated,0.08156718200744006,Mortality,tree
NA,CA,auc,calibrated,0.6596569237745051,Mortality,tree
NA,CA,brier_score,calibrated,0.10289010837071923,Mortality,tree
NA,CA,overall_mort_rate,calibrated,0.12237385290946856,Mortality,tree
NA,CI,auc,calibrated,0.7284822471390562,Mortality,tree
NA,CI,brier_score,calibrated,0.1543911691887349,Mortality,tree
NA,CI,overall_mort_rate,calibrated,0.23220633214846653,Mortality,tree
NA,CR,auc,calibrated,0.7595646675082486,Mortality,tree
NA,CR,brier_score,calibrated,0.09064182699812941,Mortality,tree
NA,CR,overall_mort_rate,calibrated,0.11552552674048,Mortality,tree
NA,CS,auc,calibrated,0.9288481536393229,Mortality,tree
NA,CS,brier_score,calibrated,0.02850050927432121,Mortality,tree
NA,CS,overall_mort_rate,calibrated,0.057869049206560885,Mortality,tree
NA,EC,auc,calibrated,0.727330382944663,Mortality,tree
NA,EC,brier_score,calibrated,0.12625014723744063,Mortality,tree
NA,EC,overall_mort_rate,calibrated,0.17079835738873117,Mortality,tree
NA,EM,auc,calibrated,0.7126055725527356,Mortality,tree
NA,EM,brier_score,calibrated,0.12316728889553974,Mortality,tree
NA,EM,overall_mort_rate,calibrated,0.16798409229100586,Mortality,tree
NA,IE,auc,calibrated,0.692697058867697,Mortality,tree
NA,IE,brier_score,calibrated,0.1035062223703588,Mortality,tree
NA,IE,overall_mort_rate,calibrated,0.13045967211517384,Mortality,tree
NA,KT,auc,calibrated,0.7003152800714751,Mortality,tree
NA,KT,brier_score,calibrated,0.11462050009402346,Mortality,tree
NA,KT,overall_mort_rate,calibrated,0.14993275082062807,Mortality,tree
NA,LS,auc,calibrated,0.9212369157065057,Mortality,tree
NA,LS,brier_score,calibrated,0.02984915243921957,Mortality,tree
NA,LS,overall_mort_rate,calibrated,0.0583557043932047,Mortality,tree
NA,NC,auc,calibrated,0.7192371870040515,Mortality,tree
NA,NC,brier_score,calibrated,0.08157005357929989,Mortality,tree
NA,NC,overall_mort_rate,calibrated,0.09781540554841639,Mortality,tree
NA,NE,auc,calibrated,0.9243606339420669,Mortality,tree
NA,NE,brier_score,calibrated,0.028111209146895768,Mortality,tree
NA,NE,overall_mort_rate,calibrated,0.0531322719941415,Mortality,tree
NA,OC,auc,calibrated,0.6711135881187086,Mortality,tree
NA,OC,brier_score,calibrated,0.09404109721933088,Mortality,tree
NA,OC,overall_mort_rate,calibrated,0.11086611815465863,Mortality,tree
NA,ON,auc,calibrated,0.9313196600939481,Mortality,tree
NA,ON,brier_score,calibrated,0.0221231909887381,Mortality,tree
NA,ON,overall_mort_rate,calibrated,0.044881285243284275,Mortality,tree
NA,OP,auc,calibrated,0.6819877602291301,Mortality,tree
NA,OP,brier_score,calibrated,0.07158314123775439,Mortality,tree
NA,OP,overall_mort_rate,calibrated,0.08452301250372485,Mortality,tree
NA,PN,auc,calibrated,0.8951651026717536,Mortality,tree
NA,PN,brier_score,calibrated,0.049482894855932824,Mortality,tree
NA,PN,overall_mort_rate,calibrated,0.0763094680545694,Mortality,tree
NA,SN,auc,calibrated,0.6899713990169588,Mortality,tree
NA,SN,brier_score,calibrated,0.14592039319838712,Mortality,tree
NA,SN,overall_mort_rate,calibrated,0.19616688883196054,Mortality,tree
NA,SO,auc,calibrated,0.6790510945055094,Mortality,tree
NA,SO,brier_score,calibrated,0.07063706002090579,Mortality,tree
NA,SO,overall_mort_rate,calibrated,0.0826674558547894,Mortality,tree
NA,TT,auc,calibrated,0.6859157293939903,Mortality,tree
NA,TT,brier_score,calibrated,0.03867029461723182,Mortality,tree
NA,TT,overall_mort_rate,calibrated,0.04251386321626616,Mortality,tree
NA,UT,auc,calibrated,0.7796820893712433,Mortality,tree
NA,UT,brier_score,calibrated,0.06682007251726242,Mortality,tree
NA,UT,overall_mort_rate,calibrated,0.08474842912799252,Mortality,tree
NA,WC,auc,calibrated,0.7334425277545007,Mortality,tree
NA,WC,brier_score,calibrated,0.06361245109442273,Mortality,tree
NA,WC,overall_mort_rate,calibrated,0.07948586195952789,Mortality,tree
NA,WS,auc,calibrated,0.6756683655362984,Mortality,tree
NA,WS,brier_score,calibrated,0.1049680255617455,Mortality,tree
NA,WS,overall_mort_rate,calibrated,0.1266545910547583,Mortality,tree
30000,ACD,rmse,calibrated,2.1335247046697043,Crown_Ratio,tree
30000,ACD,bias,calibrated,-0.024352140312857023,Crown_Ratio,tree
30000,ACD,r2,calibrated,0.29379294203957795,Crown_Ratio,tree
30000,AK,rmse,calibrated,0.991443453254624,Crown_Ratio,tree
30000,AK,bias,calibrated,-4.681213021060685e-4,Crown_Ratio,tree
30000,AK,r2,calibrated,0.13518510204537448,Crown_Ratio,tree
30000,BC,rmse,calibrated,2.2645845794629547,Crown_Ratio,tree
30000,BC,bias,calibrated,-0.027769964799166814,Crown_Ratio,tree
30000,BC,r2,calibrated,0.29875917413023134,Crown_Ratio,tree
30000,BM,rmse,calibrated,1.3093609766128467,Crown_Ratio,tree
30000,BM,bias,calibrated,0.006051910200999976,Crown_Ratio,tree
30000,BM,r2,calibrated,0.2165917381911845,Crown_Ratio,tree
30000,CA,rmse,calibrated,1.4268085517738471,Crown_Ratio,tree
30000,CA,bias,calibrated,0.0029596612148332095,Crown_Ratio,tree
30000,CA,r2,calibrated,0.18409054470995223,Crown_Ratio,tree
16539,CI,rmse,calibrated,1.6143178918447438,Crown_Ratio,tree
16539,CI,bias,calibrated,2.1744398149842303e-4,Crown_Ratio,tree
16539,CI,r2,calibrated,0.21773668208137154,Crown_Ratio,tree
30000,CR,rmse,calibrated,1.3450858013142992,Crown_Ratio,tree
30000,CR,bias,calibrated,-0.014082127003333481,Crown_Ratio,tree
30000,CR,r2,calibrated,0.2402142730900343,Crown_Ratio,tree
30000,CS,rmse,calibrated,1.9235739986816407,Crown_Ratio,tree
30000,CS,bias,calibrated,0.009922861679698415,Crown_Ratio,tree
30000,CS,r2,calibrated,0.2606193157346154,Crown_Ratio,tree
30000,EC,rmse,calibrated,1.2983286660100337,Crown_Ratio,tree
30000,EC,bias,calibrated,-1.6257447425006662e-4,Crown_Ratio,tree
30000,EC,r2,calibrated,0.20013225367570997,Crown_Ratio,tree
30000,EM,rmse,calibrated,1.262448085496667,Crown_Ratio,tree
30000,EM,bias,calibrated,0.0035047864133301147,Crown_Ratio,tree
30000,EM,r2,calibrated,0.15703405785095204,Crown_Ratio,tree
30000,IE,rmse,calibrated,1.303278581153294,Crown_Ratio,tree
30000,IE,bias,calibrated,0.009222849083333425,Crown_Ratio,tree
30000,IE,r2,calibrated,0.22197022664436683,Crown_Ratio,tree
30000,KT,rmse,calibrated,1.2744778487075632,Crown_Ratio,tree
30000,KT,bias,calibrated,0.0070443244400001616,Crown_Ratio,tree
30000,KT,r2,calibrated,0.18202875812229258,Crown_Ratio,tree
30000,LS,rmse,calibrated,2.1936236847819974,Crown_Ratio,tree
30000,LS,bias,calibrated,-0.014790065510698482,Crown_Ratio,tree
30000,LS,r2,calibrated,0.26575755651343125,Crown_Ratio,tree
10663,NC,rmse,calibrated,1.2182461928280877,Crown_Ratio,tree
10663,NC,bias,calibrated,9.582880343246166e-4,Crown_Ratio,tree
10663,NC,r2,calibrated,0.37436290300997266,Crown_Ratio,tree
30000,NE,rmse,calibrated,2.113660658090474,Crown_Ratio,tree
30000,NE,bias,calibrated,0.009668792047793695,Crown_Ratio,tree
30000,NE,r2,calibrated,0.27393855009029144,Crown_Ratio,tree
30000,OC,rmse,calibrated,1.3682704586907581,Crown_Ratio,tree
30000,OC,bias,calibrated,0.008409588272833416,Crown_Ratio,tree
30000,OC,r2,calibrated,0.17186624628720804,Crown_Ratio,tree
30000,ON,rmse,calibrated,2.2645845794629547,Crown_Ratio,tree
30000,ON,bias,calibrated,-0.027769964799166814,Crown_Ratio,tree
30000,ON,r2,calibrated,0.29875917413023134,Crown_Ratio,tree
30000,OP,rmse,calibrated,1.3901326567405428,Crown_Ratio,tree
30000,OP,bias,calibrated,-0.005288471249833494,Crown_Ratio,tree
30000,OP,r2,calibrated,0.22850287346505482,Crown_Ratio,tree
30000,PN,rmse,calibrated,1.548058228067096,Crown_Ratio,tree
30000,PN,bias,calibrated,-0.012857479293333564,Crown_Ratio,tree
30000,PN,r2,calibrated,0.37568118099649495,Crown_Ratio,tree
30000,SN,rmse,calibrated,3.02462235777312,Crown_Ratio,tree
30000,SN,bias,calibrated,-0.013075102996367998,Crown_Ratio,tree
30000,SN,r2,calibrated,0.2624416437370458,Crown_Ratio,tree
30000,SO,rmse,calibrated,1.2595421602384433,Crown_Ratio,tree
30000,SO,bias,calibrated,-0.001974893562833337,Crown_Ratio,tree
30000,SO,r2,calibrated,0.20202310715443417,Crown_Ratio,tree
410,TT,rmse,calibrated,1.2284277594186392,Crown_Ratio,tree
410,TT,bias,calibrated,0.004640366414633949,Crown_Ratio,tree
410,TT,r2,calibrated,0.2982153296001797,Crown_Ratio,tree
30000,UT,rmse,calibrated,1.3722183062671653,Crown_Ratio,tree
30000,UT,bias,calibrated,0.01052973266666669,Crown_Ratio,tree
30000,UT,r2,calibrated,0.23011001800508346,Crown_Ratio,tree
30000,WC,rmse,calibrated,1.2784386445768514,Crown_Ratio,tree
30000,WC,bias,calibrated,0.00916476992449993,Crown_Ratio,tree
30000,WC,r2,calibrated,0.28337046112083886,Crown_Ratio,tree
30000,WS,rmse,calibrated,1.384795120524019,Crown_Ratio,tree
30000,WS,bias,calibrated,0.003668480163433287,Crown_Ratio,tree
30000,WS,r2,calibrated,0.14435952097973404,Crown_Ratio,tree
29824,ACD,rmse,calibrated,0.7308729780435442,Diameter_Growth,tree
29824,ACD,bias,calibrated,0.0022422865802424314,Diameter_Growth,tree
29824,ACD,r2,calibrated,0.68618172516118,Diameter_Growth,tree
29573,CA,rmse,calibrated,0.9237835931404742,Diameter_Growth,tree
29573,CA,bias,calibrated,0.38933935152443605,Diameter_Growth,tree
29573,CA,r2,calibrated,0.5605182829264417,Diameter_Growth,tree
29717,CS,rmse,calibrated,0.7960789168938108,Diameter_Growth,tree
29717,CS,bias,calibrated,0.003084139159574112,Diameter_Growth,tree
29717,CS,r2,calibrated,0.6071871286532038,Diameter_Growth,tree
29711,KT,rmse,calibrated,0.7510999134812678,Diameter_Growth,tree
29711,KT,bias,calibrated,0.11478596281449463,Diameter_Growth,tree
29711,KT,r2,calibrated,0.5746863523771598,Diameter_Growth,tree
29439,LS,rmse,calibrated,0.7683005466066062,Diameter_Growth,tree
29439,LS,bias,calibrated,-0.05476888438705844,Diameter_Growth,tree
29439,LS,r2,calibrated,0.6107144257983648,Diameter_Growth,tree
11116,NC,rmse,calibrated,8.6007700296582,Diameter_Growth,tree
11116,NC,bias,calibrated,-6.71369109476156,Diameter_Growth,tree
11116,NC,r2,calibrated,-30.226607576114144,Diameter_Growth,tree
29779,ON,rmse,calibrated,0.7015858986871449,Diameter_Growth,tree
29779,ON,bias,calibrated,-0.02523279644738778,Diameter_Growth,tree
29779,ON,r2,calibrated,0.70836509259877,Diameter_Growth,tree
NA,AK,mean_pct_change,comparison,-25.27082243455369,SDIMAX,stand
NA,AK,correlation,comparison,0.773626020427941,SDIMAX,stand
NA,CA,mean_pct_change,comparison,-19.86495616814962,SDIMAX,stand
NA,CA,correlation,comparison,0.7684674025222302,SDIMAX,stand
NA,CI,mean_pct_change,comparison,-26.543630853253102,SDIMAX,stand
NA,CI,correlation,comparison,0.6345272611510114,SDIMAX,stand
NA,CR,mean_pct_change,comparison,-19.804269894102262,SDIMAX,stand
NA,CR,correlation,comparison,0.44075233577721756,SDIMAX,stand
NA,CS,mean_pct_change,comparison,-20.58248412685417,SDIMAX,stand
NA,CS,correlation,comparison,0.41875107110031073,SDIMAX,stand
NA,EC,mean_pct_change,comparison,-42.48111650223783,SDIMAX,stand
NA,EC,correlation,comparison,-0.1175986761770087,SDIMAX,stand
NA,EM,mean_pct_change,comparison,-35.79374858633096,SDIMAX,stand
NA,EM,correlation,comparison,-0.7793460394014181,SDIMAX,stand
NA,LS,mean_pct_change,comparison,-25.409318394827704,SDIMAX,stand
NA,LS,correlation,comparison,0.7281215299531238,SDIMAX,stand
NA,NE,mean_pct_change,comparison,-16.340777707871652,SDIMAX,stand
NA,NE,correlation,comparison,0.5015846716507988,SDIMAX,stand
NA,OC,mean_pct_change,comparison,-24.82593076524931,SDIMAX,stand
NA,OC,correlation,comparison,0.6588531039182672,SDIMAX,stand
NA,SN,mean_pct_change,comparison,-10.340283095124637,SDIMAX,stand
NA,SN,correlation,comparison,0.6032383601967217,SDIMAX,stand
NA,TT,mean_pct_change,comparison,-24.53229702667914,SDIMAX,stand
NA,TT,correlation,comparison,0.5571158605308231,SDIMAX,stand
NA,UT,mean_pct_change,comparison,-23.761834555698712,SDIMAX,stand
NA,UT,correlation,comparison,0.6228350998616121,SDIMAX,stand
NA,WC,mean_pct_change,comparison,-38.55083251615091,SDIMAX,stand
NA,WC,correlation,comparison,0.35197924432260136,SDIMAX,stand
NA,WS,mean_pct_change,comparison,-20.116498736318597,SDIMAX,stand
NA,WS,correlation,comparison,0.7597345965347537,SDIMAX,stand
