SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,sdimax_combined_orig,w_qr_new,w_bayes_new,sdimax_source
202,0.2285374503125,6.0514014603125,424.7078243173173,0.0183666643284125,-1.5802429931715871,601.6425755315445,-1.4928802466844169,12402,0.7,0.30000000000000004,548.5621501672763,-1.5190890706305682,NA,548.5621501672763,0.7,0.30000000000000004,qr_dominant
211,-0.0419372050776625,5.780926804922338,324.05939112082984,-0.086653846552925,-1.685263504052925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,-0.7656076958,5.0572563142,157.1587300752817,0.04088568236561875,-1.5577239751343812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,0.430051348125,6.252915358125,519.5252210829867,0.02221888163272625,-1.5763907758672735,690.377997109282,-1.502269983488422,699,0.7,0.30000000000000004,639.1221643013934,-1.5245062212020777,NA,639.1221643013934,0.7,0.30000000000000004,qr_dominant
263,0.43602418325,6.25888819325,522.6375450180426,-0.0708324856926225,-1.6694421431926223,676.0227206690258,-1.743738944245202,2222,0.7,0.30000000000000004,630.0071679737309,-1.721449903929428,NA,630.0071679737309,0.7,0.30000000000000004,qr_dominant
264,0.39503116225,6.2178951722499995,501.6462410896213,-0.01140364008825125,-1.6100132975882513,663.9825376251667,-1.5996330838489667,686,0.7,0.30000000000000004,615.2816486645031,-1.602747147970752,NA,615.2816486645031,0.7,0.30000000000000004,qr_dominant
312,-0.0222081142823825,5.800655895717617,330.516273039362,-0.0101732531154775,-1.6087829106154774,462.8463307925013,-1.7320393731061912,209,0.7,0.30000000000000004,423.1473134665595,-1.695062434358977,NA,423.1473134665595,0.7,0.30000000000000004,qr_dominant
351,-0.14866871061875,5.67419529938125,291.2538720492535,0.02313539370692875,-1.5754742637930712,403.3128391307663,-1.5750466487119823,702,0.7,0.30000000000000004,369.6951490063125,-1.575174933236309,NA,369.6951490063125,0.7,0.30000000000000004,qr_dominant
361,0.1425256360905375,5.965389646090538,389.7048454608907,0.04202163386773375,-1.5565880236322662,588.8590502332652,-1.4575175668520766,109,0.7,0.30000000000000004,498.2438870618348,-1.4872387038861334,NA,529.1127888015528,0.545,0.45499999999999996,qr_dominant
374,-0.5862048626025,5.2366591473975,188.04083513291937,0.0335195728644125,-1.5650900846355875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,0.0225700664254875,5.845434076425487,345.65254884432346,-0.034621668627585,-1.633231326127585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,0.27734145189,6.10020546189,445.9493862741249,0.001136580776425,-1.597473076723575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,-0.3694580574875,5.4534059525125,233.5522807586981,0.006981401261075,-1.591628256238925,334.5839991843004,-1.2859372995185463,34,0.34,0.6599999999999999,250.72767289105047,-1.4876933309539964,NA,267.90306502340286,0.17,0.83,bayes_dominant
542,-0.1145797688286125,5.708284241171388,301.35357440657594,-0.0669618629874875,-1.6655715204874877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,0.00668162757726875,5.829545637577269,340.2040680051174,-1.0892416989750004e-4,-1.5987185816698974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
