SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
746,17066,146.24243425288591,156.2225742733197,175.41421039151226,443.7066783491999,85.34125337136439,156.2225742733197,130,0.8,0.19999999999999996,150.97805941865576
762,746,148.32783657064348,156.3170605237243,176.1759165111044,186.93481550818677,75.97430608971929,156.3170605237243,200,0.8,0.19999999999999996,165.05364841897944
802,1713,147.15412735973555,154.15715661824873,170.59642539840993,236.173506072876,90.85744574922668,154.15715661824873,160,0.8,0.19999999999999996,155.32572529459898
804,103,151.54221293319839,155.0627857012142,174.3382507860191,272.36572116031795,92.90825197082606,155.0627857012142,160,0.8,0.19999999999999996,156.05022856097136
809,1232,140.18944882726436,151.25578254234787,183.4102030618389,223.48408606425647,81.61298861211736,151.25578254234787,130,0.8,0.19999999999999996,147.0046260338783
823,2078,146.37753189027103,158.6262921633959,184.63930002565286,242.22994839163724,86.45241520781798,158.6262921633959,160,0.8,0.19999999999999996,158.90103373071673
833,5710,162.0542625668786,171.8798184172153,189.37335328618443,232.39560277357052,98.77926685024372,171.8798184172153,160,0.8,0.19999999999999996,169.50385473377224
837,1437,150.14637990451922,159.34522888480177,182.05656984406565,218.522431329606,88.16999379477622,159.34522888480177,160,0.8,0.19999999999999996,159.47618310784142
901,100,130.87965881171675,137.15470210979973,150.33907022551395,170.23525422659998,81.91528750030207,137.15470210979973,150,0.8,0.19999999999999996,139.72376168783978
922,127,156.65139360306,159.19550228586226,187.23618559045528,198.977488573896,86.98477840508312,159.19550228586226,150,0.8,0.19999999999999996,157.3564018286898
931,84,150.75792079435783,157.04403948045876,160.4096618734647,161.332453066662,80.56443128027955,157.04403948045876,150,0.8,0.19999999999999996,155.635231584367
951,3134,164.6353627579332,172.9723934634839,185.76555848482798,215.94502710445963,100.70153766475175,172.9723934634839,150,0.8,0.19999999999999996,168.37791477078713
972,993,129.0256779579202,135.55912141838593,156.19188102742228,175.779604819728,74.26487994040247,135.55912141838593,150,0.8,0.19999999999999996,138.44729713470875
974,20,82.90110440507827,83.59362118867259,84.28613797226691,84.63239636406408,53.82828785588133,83.59362118867259,NA,0.2,0.8,83.59362118867259
975,92,130.14914153962627,146.704503433374,148.36239439666076,153.8968422312,73.50262194482792,146.704503433374,150,0.8,0.19999999999999996,147.3636027466992
999,45,140.32509248735997,145.010862859824,147.57396636384,148.9289152554,98.748991822926,145.010862859824,NA,0.45,0.55,145.010862859824
