year,tpa,ba,qmd,sdi,top_ht,n_trees,scenario,variant
11,164,70.94708146975961,8.905978629879149,136.17045675205705,5.32445848961312,164,Calibrated (annualized),CI
12,160,70.89327971211,9.013196684134133,135.42552694172187,5.335523218456827,160,Calibrated (annualized),CI
13,158,72.35017758725981,9.16278640144034,137.31289543472727,5.346624311959682,158,Calibrated (annualized),CI
14,155,72.08557546278887,9.2341014411437925,136.39237671083706,5.35772528405141,155,Calibrated (annualized),CI
15,153,73.70084454986666,9.39781350096083,138.48396211485382,5.368865491521546,153,Calibrated (annualized),CI
16,151,75.60771084065736,9.581442029273145,140.9851931999718,5.379999670663492,151,Calibrated (annualized),CI
17,148,76.21001804317561,9.716536353726738,141.3245595506137,5.391119829604561,148,Calibrated (annualized),CI
18,147,76.80384787986438,9.78744033036929,142.01731062797597,5.37208508762898,147,Calibrated (annualized),CI
19,147,79.39425398170901,9.951124828353741,145.84856961883293,5.3831159079644735,147,Calibrated (annualized),CI
20,145,80.53323235074579,10.091131592190521,147.1266996258129,5.394116793747471,145,Calibrated (annualized),CI
21,144,82.0543394501581,10.221292961512443,149.14866112145128,5.405120440545201,144,Calibrated (annualized),CI
22,141,82.6292294505989,10.365579824284545,149.36431151570045,5.416116929055639,141,Calibrated (annualized),CI
23,139,84.05072293508684,10.529303202895584,150.99626657783807,5.4271272680864175,139,Calibrated (annualized),CI
24,136,83.9918244934752,10.64107143773835,150.26243048053436,5.438130784527326,136,Calibrated (annualized),CI
25,134,84.10175373732805,10.727201344605282,149.98075035703394,5.449161009121553,134,Calibrated (annualized),CI
26,130,83.31296519139161,10.83979140779955,147.96259417677632,5.460213164240165,130,Calibrated (annualized),CI
27,128,85.10767927763233,11.041185202188833,150.05489235521125,5.471307488417836,128,Calibrated (annualized),CI
28,127,87.4620335296518,11.236840858343383,153.13967125273314,5.482382563646903,127,Calibrated (annualized),CI
29,126,89.37625994727543,11.40412900289818,155.58053118685757,5.493424379225181,126,Calibrated (annualized),CI
30,123,88.51092905194311,11.486354067676059,153.63760954303007,5.468479546682143,123,Calibrated (annualized),CI
31,121,90.17283385994526,11.689110911516394,155.44424391919296,5.479429988024558,121,Calibrated (annualized),CI
32,120,92.21442856686166,11.869847027480217,158.0031214869142,5.490364026909766,120,Calibrated (annualized),CI
33,118,93.55918016835622,12.05697902782086,159.31982056806078,5.501272008299913,118,Calibrated (annualized),CI
34,117,94.98300008262743,12.20018218188234,160.99181581986008,5.512169156350034,117,Calibrated (annualized),CI
35,116,96.84354625547589,12.372078099933804,163.240699493535,5.523052805578927,116,Calibrated (annualized),CI
36,114,98.08403554422067,12.559809222257664,164.35110747115934,5.533912086026718,114,Calibrated (annualized),CI
37,113,99.92993427519343,12.733414734039291,166.5386282467805,5.54476044713734,113,Calibrated (annualized),CI
38,112,101.70751349604075,12.903389663288364,168.61555710155892,5.555583218406194,112,Calibrated (annualized),CI
39,111,103.52961787729056,13.07696982171635,170.73277877959234,5.566381219558462,111,Calibrated (annualized),CI
40,111,106.17261430197277,13.242838158961897,174.22184101154718,5.577152709856117,111,Calibrated (annualized),CI
41,111,108.84008378080647,13.408162034853216,177.72586004044757,5.587878327389721,111,Calibrated (annualized),CI
42,109,107.41539507978679,13.441765712761054,175.22613990403715,5.598556944322338,109,Calibrated (annualized),CI
43,107,108.26127763504472,13.620121775493718,175.68887727754714,5.609280555360873,107,Calibrated (annualized),CI
44,107,110.91078755643298,13.785778970210481,179.1311161635331,5.619997066654345,107,Calibrated (annualized),CI
45,107,113.58261845733766,13.950839898234564,182.58594643211524,5.630664973806206,107,Calibrated (annualized),CI
46,107,116.27605895581786,14.115282298455462,186.05251056716656,5.6412832876047565,107,Calibrated (annualized),CI
47,106,117.39130655392513,14.24955627730619,187.13586000748597,5.651851067982233,106,Calibrated (annualized),CI
48,105,119.2878914477619,14.432442530404062,189.20374884497647,5.662403104543276,105,Calibrated (annualized),CI
49,103,115.07647095391494,14.312350407796263,183.1273944472476,5.538803761033401,103,Calibrated (annualized),CI
50,97,109.85530029094996,14.409899305043165,174.3502412398791,5.542736606134594,97,Calibrated (annualized),CI
0,200,60.14999723724917,7.425729302276445,124.04128957650833,5.237633851850626,200,Default FVS-like,CI
1,191,58.80310929278458,7.513110339212535,120.70467563856477,5.240171579802529,191,Default FVS-like,CI
2,185,57.74571020016293,7.565023904235336,118.21219115214345,5.242706159167713,185,Default FVS-like,CI
3,183,57.64595494540091,7.599677789399575,117.79513461165534,5.24523831472933,183,Default FVS-like,CI
4,182,57.570356490013616,7.61552890308312,117.54387439553723,5.24777118453363,182,Default FVS-like,CI
5,177,57.04768944672151,7.687209229653975,116.04649632386419,5.25030483732262,177,Default FVS-like,CI
6,174,56.86972822129766,7.741092511491758,115.36574414367428,5.252837699495791,174,Default FVS-like,CI
7,172,56.780030666967164,7.779826168728909,114.956921654248,5.255370941488447,172,Default FVS-like,CI
8,167,56.657397093053845,7.886900813272314,114.0909534793357,5.2579048602672405,167,Default FVS-like,CI
9,161,56.15809611501188,7.997045284018193,112.46769959791736,5.260439322673874,161,Default FVS-like,CI
10,158,55.39863897910795,8.01783859794648,110.83299487650153,5.262972924549753,158,Default FVS-like,CI
