metric,n,bias,rmse,pct_rmse,r2,variant,eq_type
QMD_calibrated,2134,1.7381,2.1086,11.24,0.9508,pn,western
DIA_default,2134,10.8882,12.8427,75.28,-1.2559,pn,western
DIA_calibrated,2134,1.713,2.0636,12.1,0.9418,pn,western
DIA_naive,2134,-1.8882,2.116,12.4,0.9388,pn,western
BA_default,62,-0.2102,0.2762,14.52,0.9154,sn,central
BA_calibrated,62,0.1977,0.2873,15.11,0.9084,sn,central
BA_naive,62,-0.3334,0.382,20.09,0.838,sn,central
QMD_default,62,-0.4185,0.5997,7.61,0.9145,sn,central
QMD_calibrated,62,0.4093,0.6035,7.66,0.9134,sn,central
DIA_default,62,-0.3612,0.5687,7.61,0.9215,sn,central
DIA_calibrated,62,0.411,0.5897,7.89,0.9156,sn,central
DIA_naive,62,-0.7506,0.817,10.93,0.8379,sn,central
BA_default,2673,22.8708,47.6618,206.63,-2.9761,so,western
BA_calibrated,2673,2.8934,3.969,17.21,0.9724,so,western
BA_naive,2673,-2.5126,3.1497,13.65,0.9826,so,western
QMD_default,2673,6.324,7.1801,48.7,-0.4515,so,western
QMD_calibrated,2673,1.0092,1.1959,8.11,0.9597,so,western
DIA_default,2673,6.7651,7.2516,54.71,-0.751,so,western
DIA_calibrated,2673,1.0311,1.2153,9.17,0.9508,so,western
DIA_naive,2673,-1.0984,1.2441,9.39,0.9485,so,western
BA_default,3686,-0.4724,0.7519,10.37,0.973,ut,western
BA_calibrated,3686,2.8569,3.2696,45.1,0.4892,ut,western
BA_naive,3686,-0.7084,0.8899,12.28,0.9622,ut,western
QMD_default,3686,-0.3589,0.5588,5.4,0.9668,ut,western
QMD_calibrated,3686,1.9236,1.9783,19.13,0.5832,ut,western
DIA_default,3686,-0.4028,0.5774,6.07,0.9576,ut,western
DIA_calibrated,3686,1.9434,1.9936,20.96,0.4946,ut,western
DIA_naive,3686,-0.568,0.645,6.78,0.9471,ut,western
BA_default,3476,33.237,118.707,361.1,-12.3204,wc,western
BA_calibrated,3476,1.9706,2.9589,9,0.9917,wc,western
BA_naive,3476,-3.119,3.71,11.29,0.987,wc,western
QMD_default,3476,8.4763,13.1398,67.92,-1.0974,wc,western
QMD_calibrated,3476,0.6356,0.9953,5.14,0.988,wc,western
DIA_default,3476,7.8975,10.3555,60.63,-0.6748,wc,western
DIA_calibrated,3476,0.6273,0.9902,5.8,0.9847,wc,western
DIA_naive,3476,-1.334,1.5395,9.01,0.963,wc,western
BA_default,1954,328.9299,450.4548,718.78,-51.8766,ws,western
BA_calibrated,1954,10.0768,14.7155,23.48,0.9436,ws,western
BA_naive,1954,-5.258,7.3901,11.79,0.9858,ws,western
QMD_default,1954,29.9938,33.4695,169.75,-18.157,ws,western
QMD_calibrated,1954,1.5599,1.864,9.45,0.9406,ws,western
DIA_default,1954,29.8204,33.31,189.81,-20.9121,ws,western
DIA_calibrated,1954,1.5903,1.9075,10.87,0.9281,ws,western
DIA_naive,1954,-1.0438,1.2597,7.18,0.9687,ws,western
