variable,estimate,variant,equation
BAL_std,0.0066172671136025,EC,Crown Ratio
CR_std,-0.66613759075,EC,Crown Ratio
SI_std,-0.074587546225,EC,Crown Ratio
Intercept,2.0686126225,EM,Mortality
DBH_std,-0.6896698385,EM,Mortality
BAL_std,-0.4172924515,EM,Mortality
CR_std,0.380664093,EM,Mortality
SI_std,-0.05814368811425,EM,Mortality
BA_std,0.21026200075,EM,Mortality
Intercept,0.086665601162575,EM,Crown Ratio
DBH_std,0.14004287275,EM,Crown Ratio
BA_std,-0.132334380725,EM,Crown Ratio
BAL_std,-0.04796909205,EM,Crown Ratio
CR_std,-0.65198920175,EM,Crown Ratio
SI_std,-0.039540995465,EM,Crown Ratio
Intercept,2.13945505,IE,Mortality
DBH_std,-0.5368752725,IE,Mortality
BAL_std,-0.44092435025,IE,Mortality
CR_std,0.5266149175,IE,Mortality
SI_std,0.05467282649695,IE,Mortality
BA_std,0.408680981,IE,Mortality
Intercept,-0.128879592966,IE,Crown Ratio
DBH_std,0.2620833915,IE,Crown Ratio
BA_std,-0.24226255475,IE,Crown Ratio
BAL_std,-0.028722620736175,IE,Crown Ratio
CR_std,-0.7893591285,IE,Crown Ratio
SI_std,-0.089598136975,IE,Crown Ratio
Intercept,2.254122115,KT,Mortality
DBH_std,-0.6374939985,KT,Mortality
BAL_std,-0.358023363,KT,Mortality
CR_std,0.41665681375,KT,Mortality
SI_std,0.035657291502625,KT,Mortality
BA_std,0.1913057385,KT,Mortality
Intercept,0.01524810954835,KT,Crown Ratio
DBH_std,0.156824636,KT,Crown Ratio
BA_std,-0.14511015275,KT,Crown Ratio
BAL_std,-0.0780064048,KT,Crown Ratio
CR_std,-0.6976281075,KT,Crown Ratio
SI_std,-0.08624872745,KT,Crown Ratio
Intercept,4.64843974,LS,Mortality
DBH_std,-1.509208335,LS,Mortality
BAL_std,-3.6364231425,LS,Mortality
CR_std,0.57455069,LS,Mortality
SI_std,0.075819575703625,LS,Mortality
BA_std,3.168468415,LS,Mortality
Intercept,-0.534219106,LS,Crown Ratio
DBH_std,-0.015507342285625,LS,Crown Ratio
BA_std,-0.1903689595,LS,Crown Ratio
BAL_std,-0.185868342825,LS,Crown Ratio
CR_std,-1.5007027625,LS,Crown Ratio
SI_std,-0.02672167059535,LS,Crown Ratio
Intercept,2.6552464425,NC,Mortality
DBH_std,0.1809140362275,NC,Mortality
BAL_std,0.07403646907945,NC,Mortality
CR_std,0.8138416515,NC,Mortality
SI_std,-0.171882029975,NC,Mortality
BA_std,0.101898297812125,NC,Mortality
Intercept,-0.4493320745,NC,Crown Ratio
DBH_std,0.59930091425,NC,Crown Ratio
BA_std,-0.07875028860975,NC,Crown Ratio
BAL_std,-0.02262705213494,NC,Crown Ratio
CR_std,-0.87661938325,NC,Crown Ratio
SI_std,-0.131141221975,NC,Crown Ratio
Intercept,4.72843728,NE,Mortality
DBH_std,-1.79466082,NE,Mortality
BAL_std,-3.8772153925,NE,Mortality
CR_std,0.8425840395,NE,Mortality
SI_std,0.28069446825,NE,Mortality
BA_std,3.1277455925,NE,Mortality
Intercept,-0.41252667325,NE,Crown Ratio
DBH_std,0.05446879111825,NE,Crown Ratio
BA_std,-0.145078811975,NE,Crown Ratio
BAL_std,-0.1365542569,NE,Crown Ratio
CR_std,-1.345845835,NE,Crown Ratio
SI_std,-0.0167155750640825,NE,Crown Ratio
Intercept,2.307160245,OC,Mortality
DBH_std,-0.058109579069125,OC,Mortality
BAL_std,-0.1558053476,OC,Mortality
CR_std,0.47087971375,OC,Mortality
SI_std,-0.0229172163794225,OC,Mortality
BA_std,0.150385434425,OC,Mortality
Intercept,-0.26105406865,OC,Crown Ratio
DBH_std,0.16853852775,OC,Crown Ratio
BA_std,-0.16176994025,OC,Crown Ratio
BAL_std,-0.024651685372075,OC,Crown Ratio
CR_std,-0.6718014664999999,OC,Crown Ratio
SI_std,-0.07811453465,OC,Crown Ratio
Intercept,5.2764850275,ON,Mortality
DBH_std,-2.3970075975,ON,Mortality
BAL_std,-3.8711507725,ON,Mortality
CR_std,1.0236676445,ON,Mortality
SI_std,0.09121766276125,ON,Mortality
BA_std,3.0289836225,ON,Mortality
Intercept,-0.7012385655,ON,Crown Ratio
DBH_std,0.0983488448,ON,Crown Ratio
BA_std,-0.13908601895,ON,Crown Ratio
BAL_std,-0.22327430075,ON,Crown Ratio
CR_std,-1.46487511,ON,Crown Ratio
SI_std,0.02664357212813,ON,Crown Ratio
Intercept,2.657803415,OP,Mortality
DBH_std,-0.21812593215,OP,Mortality
BAL_std,-0.59378470375,OP,Mortality
CR_std,0.56515318775,OP,Mortality
SI_std,0.0142292864971575,OP,Mortality
BA_std,0.507257378,OP,Mortality
Intercept,-0.44602335775,OP,Crown Ratio
DBH_std,0.29021619075,OP,Crown Ratio
BA_std,-0.102297413225,OP,Crown Ratio
BAL_std,-0.068784510175,OP,Crown Ratio
CR_std,-0.746189579,OP,Crown Ratio
SI_std,-0.16390447925,OP,Crown Ratio
Intercept,4.2863162675,PN,Mortality
DBH_std,-0.55895183975,PN,Mortality
BAL_std,-3.11563,PN,Mortality
CR_std,0.79522565125,PN,Mortality
SI_std,0.019923385909075,PN,Mortality
BA_std,3.0091404975,PN,Mortality
Intercept,-0.61808068525,PN,Crown Ratio
DBH_std,0.5011216105,PN,Crown Ratio
BA_std,-0.0595609760715,PN,Crown Ratio
BAL_std,-0.115564876675,PN,Crown Ratio
CR_std,-1.1173367525,PN,Crown Ratio
SI_std,-0.1357079485,PN,Crown Ratio
Intercept,1.9404826975,SN,Mortality
DBH_std,0.34357890375,SN,Mortality
BAL_std,-0.073150588475,SN,Mortality
CR_std,0.333537628,SN,Mortality
SI_std,-0.0238704278316925,SN,Mortality
BA_std,-0.09006265195,SN,Mortality
Intercept,-0.21181430276775,SN,Crown Ratio
DBH_std,0.161713445975,SN,Crown Ratio
BA_std,-0.064529579280275,SN,Crown Ratio
BAL_std,-0.23595547175,SN,Crown Ratio
CR_std,-1.89357612,SN,Crown Ratio
SI_std,0.004275399081945,SN,Crown Ratio
Intercept,2.4442348925,SO,Mortality
DBH_std,-0.554987927,SO,Mortality
BAL_std,-0.44275809025,SO,Mortality
CR_std,0.46014571175,SO,Mortality
SI_std,-0.021267042151025,SO,Mortality
BA_std,0.2412815192,SO,Mortality
Intercept,-0.25686091485,SO,Crown Ratio
DBH_std,0.16809529625,SO,Crown Ratio
BA_std,-0.173097873,SO,Crown Ratio
BAL_std,-0.046879779975,SO,Crown Ratio
CR_std,-0.63832588575,SO,Crown Ratio
SI_std,-0.077224621275,SO,Crown Ratio
Intercept,3.42475008575,TT,Mortality
DBH_std,-0.39417515509725,TT,Mortality
BAL_std,-0.62415607511025,TT,Mortality
CR_std,0.26193359276075,TT,Mortality
SI_std,-0.247822433351875,TT,Mortality
BA_std,1.19113049826,TT,Mortality
Intercept,-0.9165071227099,TT,Crown Ratio
DBH_std,0.01845850539341,TT,Crown Ratio
BA_std,-0.301739840576,TT,Crown Ratio
BAL_std,-0.025876369683725,TT,Crown Ratio
CR_std,-0.87701602175,TT,Crown Ratio
SI_std,-0.16191611809405,TT,Crown Ratio
Intercept,2.4190195725,UT,Mortality
DBH_std,-0.60351301025,UT,Mortality
BAL_std,-0.484231793,UT,Mortality
CR_std,0.4891641075,UT,Mortality
SI_std,-0.0348373937971,UT,Mortality
BA_std,0.46003216925,UT,Mortality
Intercept,-0.30433337463875,UT,Crown Ratio
DBH_std,-0.007266192356045,UT,Crown Ratio
BA_std,-0.1213286367,UT,Crown Ratio
BAL_std,-0.02028254767445,UT,Crown Ratio
CR_std,-0.97143776775,UT,Crown Ratio
SI_std,-0.02271976187371,UT,Crown Ratio
Intercept,2.58159383,WC,Mortality
DBH_std,-0.3598518575,WC,Mortality
BAL_std,-0.975224474,WC,Mortality
CR_std,0.5942652795,WC,Mortality
SI_std,0.0432677480485,WC,Mortality
BA_std,0.87922194675,WC,Mortality
Intercept,-0.43525298045,WC,Crown Ratio
DBH_std,0.27549853125,WC,Crown Ratio
BA_std,-0.077623894425,WC,Crown Ratio
BAL_std,-0.0608931573275,WC,Crown Ratio
CR_std,-0.7531453475,WC,Crown Ratio
SI_std,-0.042653605575,WC,Crown Ratio
Intercept,2.46580481,WS,Mortality
DBH_std,-0.0962162154175,WS,Mortality
BAL_std,-0.144831831,WS,Mortality
CR_std,0.42469462025,WS,Mortality
SI_std,-0.053099624259,WS,Mortality
BA_std,0.192887162725,WS,Mortality
Intercept,-0.309947723125,WS,Crown Ratio
DBH_std,0.105961325725,WS,Crown Ratio
BA_std,-0.18354556325,WS,Crown Ratio
BAL_std,0.00386316051415,WS,Crown Ratio
CR_std,-0.60668866175,WS,Crown Ratio
SI_std,-0.05922870085,WS,Crown Ratio
