variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk
ln_DDS_rep[480],-0.36046061036975,-0.36076850000000005,0.9170260150011263,0.9335242791000001,-1.8595424999999999,1.1023504999999998,NA,NA
ln_DDS_rep[481],1.76135755448625,1.770425,1.0054478587338203,0.9910439699999999,0.09125301500000002,3.3934975,NA,NA
ln_DDS_rep[482],1.0027343863505,1.0034450000000001,0.9160923136365757,0.9288333327,-0.5480552,2.473845,NA,NA
ln_DDS_rep[483],1.8049427322245,1.82042,0.9356784495256115,0.9257428529999998,0.25040695,3.3679209999999986,NA,NA
ln_DDS_rep[484],1.50495211739975,1.493405,0.880753414554657,0.8788949169000001,0.04581625,2.9462574999999993,NA,NA
ln_DDS_rep[485],2.033635649205,2.033315,0.9079190943939406,0.90260688,0.52947195,3.5189604999999995,NA,NA
ln_DDS_rep[486],2.329925743865,2.3357799999999997,0.9337272983153124,0.9293974619999995,0.78519365,3.902214999999999,NA,NA
ln_DDS_rep[487],1.3431564472625,1.34162,0.8908114325843346,0.8979878396999998,-0.11671585,2.816581499999998,NA,NA
ln_DDS_rep[488],1.33659528543025,1.341765,0.895371779127253,0.9115313907000001,-0.14541319999999994,2.8213144999999997,NA,NA
ln_DDS_rep[489],0.822977055248,0.830633,0.9060149848530766,0.9087085202999998,-0.6363279,2.2825759999999997,NA,NA
ln_DDS_rep[490],1.23558188730575,1.213675,0.9170092883461117,0.8950485851999999,-0.26772785,2.7965729999999995,NA,NA
ln_DDS_rep[491],0.90066950196075,0.9000049999999999,0.910496227084103,0.9190859790000001,-0.5921932,2.3848350000000003,NA,NA
ln_DDS_rep[492],2.5010827195725,2.505735,0.8948434417065282,0.8948602950000001,1.0484445,3.9871044999999987,NA,NA
ln_DDS_rep[493],1.41830967828,1.40468,0.9256990432266958,0.9079783397999999,-0.11953454999999989,2.960025,NA,NA
ln_DDS_rep[494],1.68010815078425,1.677425,0.9586754743235758,0.9365954849999998,0.09469124500000006,3.2434214999999997,NA,NA
ln_DDS_rep[495],-1.4351073931625,-1.44599,0.9009339079126781,0.8855695821,-2.9390595,0.014391009999999864,NA,NA
ln_DDS_rep[496],1.65315621545375,1.66262,0.9191244753742616,0.90861141,0.1310645,3.1675164999999996,NA,NA
ln_DDS_rep[497],0.87514683277125,0.8730709999999999,0.8974268717073148,0.8573134499999998,-0.6217547499999999,2.3541264999999996,NA,NA
ln_DDS_rep[498],2.8136350579,2.818735,0.9648436016744134,0.971421759,1.2267959999999998,4.3778834999999985,NA,NA
ln_DDS_rep[499],2.5492826618445,2.5548599999999997,1.0465154620876873,1.0290578339999994,0.8476408500000001,4.3073935,NA,NA
ln_DDS_rep[500],1.495286185645,1.47602,0.8935295706872554,0.8630844704999999,0.04026011500000005,2.9708219999999996,NA,NA
ln_DDS_rep[501],2.1690710542825,2.16219,0.9346613681671601,0.9421997129999997,0.6468470000000001,3.6758049999999987,NA,NA
ln_DDS_rep[502],-1.3323578945035,-1.3264550000000002,0.903930881236658,0.9171756488999999,-2.8468109999999998,0.15013524999999947,NA,NA
ln_DDS_rep[503],1.9127354983,1.895065,0.9487690985838008,0.9350684069999998,0.36786545000000004,3.455535499999998,NA,NA
ln_DDS_rep[504],0.739664303931475,0.72247,0.9155643109375591,0.9195730130999998,-0.7459307,2.2563294999999997,NA,NA
ln_DDS_rep[505],1.449308189835,1.4388200000000002,0.9284476587660961,0.9373990542000001,-0.04683456499999997,2.976165,NA,NA
ln_DDS_rep[506],0.9383488750305,0.940714,0.9061349819807958,0.9058997345999998,-0.5629696499999999,2.409426,NA,NA
ln_DDS_rep[507],1.1655543674005,1.1391550000000001,0.9030834252957696,0.8942301899999997,-0.29032725,2.6900939999999998,NA,NA
ln_DDS_rep[508],0.24715334418675,0.225183,0.8977509996686694,0.8904265797,-1.2069210000000001,1.7376474999999991,NA,NA
ln_DDS_rep[509],0.7104460635505,0.705301,0.9236383359356095,0.9009502968899997,-0.8067472499999999,2.2594845,NA,NA
ln_DDS_rep[510],1.4049310936025,1.40586,0.8978740580101535,0.9072318507000002,-0.054246484999999955,2.896405999999999,NA,NA
