SPCD,n_stands,qr_slope,species_slope,slope_combined,reineke_b_qr,reineke_b_bayes,reineke_b_combined,diff_from_reineke
113,274,-1.8163753677423986,-1.600764448155165,-1.7516920918662284,1.8163753677423986,1.600764448155165,1.7516920918662284,0.14669209186622845
114,NA,NA,-1.6542270830859287,NA,NA,1.6542270830859287,NA,NA
116,NA,NA,-1.6205619024721862,NA,NA,1.6205619024721862,NA,NA
118,NA,NA,-1.6176660198025563,NA,NA,1.6176660198025563,NA,NA
119,32,-1.1661485912894864,-1.6157850458836251,-1.4719013804135006,1.1661485912894864,1.6157850458836251,1.4719013804135006,-0.13309861958649938
122,5316,-1.8591369654812402,-1.6970255302555,-1.8105035349135181,1.8591369654812402,1.6970255302555,1.8105035349135181,0.20550353491351814
133,1750,-1.6761857469806751,-1.6265242456470075,-1.6612872965805747,1.6761857469806751,1.6265242456470075,1.6612872965805747,0.05628729658057474
134,59,-2.5979883026324178,-1.6267112362889697,-2.199764705431604,2.5979883026324178,1.6267112362889697,2.199764705431604,0.5947647054316039
135,NA,NA,-1.6372594296202438,NA,NA,1.6372594296202438,NA,NA
140,NA,NA,-1.6251851139082,NA,NA,1.6251851139082,NA,NA
142,NA,NA,-1.5643034667920341,NA,NA,1.5643034667920341,NA,NA
143,87,-1.5327016501626318,-1.5604056210973376,-1.5410128414430435,1.5327016501626318,1.5604056210973376,1.5410128414430435,-0.06398715855695647
202,7217,-1.75749657850987,-1.6542981876347915,-1.7265370612473463,1.75749657850987,1.6542981876347915,1.7265370612473463,0.12153706124734631
242,448,-1.5345114626766105,-1.5853031013847112,-1.5497489542890408,1.5345114626766105,1.5853031013847112,1.5497489542890408,-0.05525104571095918
263,196,-1.6067176453723533,-1.6633774814112001,-1.6237155961840073,1.6067176453723533,1.6633774814112001,1.6237155961840073,0.01871559618400731
264,169,-1.8427217484418132,-1.6505617112680626,-1.785073737289688,1.8427217484418132,1.6505617112680626,1.785073737289688,0.18007373728968812
313,NA,NA,-1.6112020290476625,NA,NA,1.6112020290476625,NA,NA
321,NA,NA,-1.6452858743874188,NA,NA,1.6452858743874188,NA,NA
322,115,-2.273161196273906,-1.641943686819,-2.0837959434374342,2.273161196273906,1.641943686819,2.0837959434374342,0.47879594343743426
353,NA,NA,-1.6319781139871374,NA,NA,1.6319781139871374,NA,NA
375,NA,NA,-1.6839525739864962,NA,NA,1.6839525739864962,NA,NA
475,573,-1.5311714728093098,-1.6277736422537163,-1.5601521236426317,1.5311714728093098,1.6277736422537163,1.5601521236426317,-0.04484787635736831
544,NA,NA,-1.6221468614386187,NA,NA,1.6221468614386187,NA,NA
606,NA,NA,-1.5951643172295913,NA,NA,1.5951643172295913,NA,NA
732,NA,NA,-1.62902310059793,NA,NA,1.62902310059793,NA,NA
740,NA,NA,-1.60396653122405,NA,NA,1.60396653122405,NA,NA
742,NA,NA,-1.63856120579062,NA,NA,1.63856120579062,NA,NA
745,30,-1.2197067624473863,-1.603974372183595,-1.4886940892627323,1.2197067624473863,1.603974372183595,1.4886940892627323,-0.1163059107372677
746,2410,-1.6615168439497499,-1.608717729943395,-1.6456771097478433,1.6615168439497499,1.608717729943395,1.6456771097478433,0.04067710974784333
747,46,-1.5596319316054408,-1.634739843172921,-1.6001902038518803,1.5596319316054408,1.634739843172921,1.6001902038518803,-0.004809796148119716
748,NA,NA,-1.6287338981812376,NA,NA,1.6287338981812376,NA,NA
749,57,-1.780039724054201,-1.6852839211096626,-1.7392947287880496,1.780039724054201,1.6852839211096626,1.7392947287880496,0.1342947287880496
755,NA,NA,-1.67375231455695,NA,NA,1.67375231455695,NA,NA
756,NA,NA,-1.488859327187225,NA,NA,1.488859327187225,NA,NA
757,136,-1.2253003035623566,-1.5724974495643922,-1.3294594473629675,1.2253003035623566,1.5724974495643922,1.3294594473629675,-0.2755405526370325
800,NA,NA,-1.6557060776211376,NA,NA,1.6557060776211376,NA,NA
803,469,-1.9825264471360564,-1.6870202494872488,-1.8938745878414143,1.9825264471360564,1.6870202494872488,1.8938745878414143,0.2888745878414143
810,123,-1.9717344413769815,-1.6522065628186797,-1.8758760778094912,1.9717344413769815,1.6522065628186797,1.8758760778094912,0.2708760778094912
814,869,-1.472080351434332,-1.5484596919020375,-1.4949941535746436,1.472080351434332,1.5484596919020375,1.4949941535746436,-0.11000584642535638
823,NA,NA,-1.63082600562485,NA,NA,1.63082600562485,NA,NA
829,NA,NA,-1.62509215428785,NA,NA,1.62509215428785,NA,NA
843,77,-1.2289392698873072,-1.5838289530190601,-1.335406174826833,1.2289392698873072,1.5838289530190601,1.335406174826833,-0.2695938251731669
846,89,-1.735407273509628,-1.5923771505964226,-1.6924982366356662,1.735407273509628,1.5923771505964226,1.6924982366356662,0.08749823663566625
847,128,-2.83338139289054,-1.7408714287703626,-2.5056284036544865,2.83338139289054,1.7408714287703626,2.5056284036544865,0.9006284036544865
902,NA,NA,-1.670386853524495,NA,NA,1.670386853524495,NA,NA
920,NA,NA,-1.6302576880662,NA,NA,1.6302576880662,NA,NA
990,NA,NA,-1.6337122837999376,NA,NA,1.6337122837999376,NA,NA
