SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior,fvs_sdimax_default,sdimax_combined_orig,sdimax_source
122,-0.008295486948425,5.588832488051575,267.4232175807099,-0.0649685952555,-1.6970255302555,359.07037934738383,-1.85913696548124,5316,0.7,0.30000000000000004,331.57623081738166,-1.810503534913518,NA,NA,331.57623081738166,calibrated_original
133,-0.040927045750415,5.556200929249585,258.83762361653373,0.0055326893529925,-1.6265242456470077,346.96458547464545,-1.6761857469806751,1750,0.7,0.30000000000000004,320.52649691721194,-1.6612872965805747,NA,NA,320.52649691721194,calibrated_original
134,-0.358603459425,5.238524515575,188.39192787966036,0.00534569871103037,-1.6267112362889695,150.56138420222896,-2.5979883026324178,59,0.59,0.41,166.07190710997585,-2.199764705431604,NA,NA,166.07190710997585,calibrated_original
135,0.057007481195525,5.654135456195525,285.4695750581618,-0.00520249462024375,-1.6372594296202438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
140,-0.278079669025,5.319048305975,204.1894636017538,0.0068718210918,-1.6251851139082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
142,0.139729092078325,5.736857067078326,310.088291146452,0.067753468207966,-1.564303466792034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
143,-0.531392842,5.065735133,158.49691556971453,0.0716513139026625,-1.5604056210973376,233.75635778907767,-1.5327016501626318,87,0.7,0.30000000000000004,211.1785251232687,-1.5410128414430435,NA,NA,211.1785251232687,calibrated_original
202,0.15013250395,5.74726047895,313.3311062788535,-0.02224125263479137,-1.6542981876347915,438.0222745493935,-1.75749657850987,7217,0.7,0.30000000000000004,696,-1.7265370612473463,696,696,400.61492406823146,reverted_to_default
242,0.612156095625,6.209284070625,497.34505986020343,0.04675383361528875,-1.5853031013847112,659.7628536829751,-1.5345114626766103,448,0.7,0.30000000000000004,611.0375155361436,-1.5497489542890408,NA,NA,611.0375155361436,calibrated_original
263,0.505303162,6.102431137,446.943030077437,-0.0313205464112,-1.6633774814112,563.3740637152691,-1.6067176453723533,196,0.7,0.30000000000000004,528.4447536239195,-1.6237155961840073,NA,NA,528.4447536239195,calibrated_original
264,0.557802866,6.1549308410000005,471.0342650755928,-0.0185047762680625,-1.6505617112680626,611.7830235527887,-1.8427217484418132,169,0.7,0.30000000000000004,569.5583960096299,-1.785073737289688,NA,NA,569.5583960096299,calibrated_original
313,0.06698909984905,5.664117074849051,288.3332919820923,0.0208549059523375,-1.6112020290476623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
321,0.06129158994976375,5.658419564949764,286.69518120422515,-0.01322893938741875,-1.6452858743874188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
322,0.23866650757875,5.83579448257875,342.3366065069465,-0.009886751819,-1.641943686819,341.67531903342217,-2.273161196273906,115,0.7,0.30000000000000004,341.87370527547944,-2.0837959434374342,NA,NA,341.87370527547944,calibrated_original
353,0.0136912968165,5.6108192718165,273.36810907390026,7.882101286249995e-5,-1.6319781139871374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
375,0.1162327816447875,5.7133607566447875,302.88729016211545,-0.05189563898649625,-1.6839525739864962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
475,0.104241012057375,5.701368987057375,299.27682675621566,0.00428329274628375,-1.6277736422537163,416.7630702228929,-1.5311714728093098,573,0.7,0.30000000000000004,381.5171971828897,-1.5601521236426317,NA,NA,381.5171971828897,calibrated_original
544,-0.312998073810375,5.284129901189625,197.18254049191137,0.00991007356138125,-1.6221468614386187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
606,-0.337999367843625,5.259128607156375,192.31383736002823,0.03689261777040875,-1.5951643172295913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
732,-0.27809503913845,5.31903293586155,204.18632521065163,0.00303383440207,-1.62902310059793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
740,-0.190947062512375,5.406180912487625,222.77914788385377,0.02809040377595,-1.60396653122405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
742,0.0131389098793375,5.610266884879338,273.2171458003199,-0.00650427079062,-1.63856120579062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
745,-0.066341243573575,5.530786731426425,252.34235861453917,0.028082562816405,-1.603974372183595,311.9722036276995,-1.2197067624473863,30,0.3,0.7,270.23131211848727,-1.4886940892627325,NA,NA,270.23131211848727,calibrated_original
746,0.212065819125,5.809193794125,333.35026836716935,0.023339205056605,-1.608717729943395,471.3656273144084,-1.66151684394975,2410,0.7,0.30000000000000004,429.9610196302367,-1.645677109747843,NA,NA,429.9610196302367,calibrated_original
747,-0.1025195653271375,5.494608409672863,243.37620373098085,-0.002682908172921,-1.634739843172921,308.38527721251864,-1.5596319316054408,46,0.46,0.54,273.2803775324883,-1.6001902038518805,NA,NA,273.2803775324883,calibrated_original
748,-0.472850516,5.124277459,168.05267282774955,0.0033230368187625,-1.6287338981812376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
749,-0.20174787785125,5.395380097148751,220.38589923043543,-0.0532269861096625,-1.6852839211096626,268.70165822326527,-1.780039724054201,57,0.57,0.4300000000000001,247.92588185634844,-1.7392947287880496,NA,NA,247.92588185634844,calibrated_original
755,-0.353063133875,5.244064841125001,189.43857720284092,-0.04169537955695,-1.67375231455695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
756,-0.604232723125,4.992895251875,147.36245789216693,0.143197607812775,-1.488859327187225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
757,-0.62286478175,4.9742631932500005,144.6422125180332,0.05955948543560788,-1.5724974495643922,256.3226673648057,-1.2253003035623566,136,0.7,0.30000000000000004,222.81853091077392,-1.3294594473629675,NA,NA,222.81853091077392,calibrated_original
800,0.228828711525375,5.825956686525375,338.98528064969514,-0.0236491426211375,-1.6557060776211376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
803,0.0934913539215075,5.690619328921508,296.07693287686163,-0.05496331448724875,-1.6870202494872488,357.59544383399606,-1.9825264471360564,469,0.7,0.30000000000000004,339.1398905468557,-1.8938745878414145,NA,NA,339.1398905468557,calibrated_original
810,-0.23293609425,5.36419188075,213.61853565881376,-0.02014962781867975,-1.6522065628186795,262.65819426260845,-1.9717344413769815,123,0.7,0.30000000000000004,247.94629668147,-1.8758760778094912,NA,NA,247.94629668147,calibrated_original
814,0.27202415725,5.86915213225,353.9487512771511,0.0835972430979625,-1.5484596919020377,530.7501251956252,-1.472080351434332,869,0.7,0.30000000000000004,477.709713020083,-1.4949941535746436,NA,NA,477.709713020083,calibrated_original
823,-0.10358670952798,5.49354126547202,243.11662475527936,0.00123092937515,-1.63082600562485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
829,-0.709374786,4.8877531890000006,132.65518783285913,0.00696478071215,-1.62509215428785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
843,0.28868169640375,5.8858096714037504,359.89404597837455,0.04822798198094,-1.58382895301906,562.5101322722036,-1.2289392698873072,77,0.7,0.30000000000000004,501.7253063840549,-1.335406174826833,NA,NA,501.7253063840549,calibrated_original
846,-0.17669607002725,5.42043190497275,225.97670188927668,0.0396797844035775,-1.5923771505964226,286.125005527151,-1.735407273509628,89,0.7,0.30000000000000004,268.0805144357887,-1.6924982366356662,NA,NA,268.0805144357887,calibrated_original
847,0.26870816675,5.86583614175,352.7770044048679,-0.1088144937703625,-1.7408714287703626,424.93587915188493,-2.83338139289054,128,0.7,0.30000000000000004,403.2882167277798,-2.5056284036544865,NA,NA,403.2882167277798,calibrated_original
902,0.3680988097898875,5.965226784789888,389.6413827908361,-0.038329918524495,-1.670386853524495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
920,0.1290195380810825,5.726147513081083,306.7851032544619,0.0017992469338,-1.6302576880662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
990,0.159835622151275,5.756963597151275,316.38619300322256,-0.0016553487999375,-1.6337122837999376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,calibrated_original
