SPCD,n_stands,ba_p95,ba_p97,ba_p99,ba_max_obs,ba_mean,bamax_calibrated,fvs_bamax_prior,w_obs,w_prior,bamax_combined
749,57,153.81019120756892,156.23045444507505,162.84372471007066,167.64840226152214,91.5099302808232,156.23045444507505,500,0.57,0.43000000000000005,304.0513590336928
755,26,123.3543193574886,144.001212075,182.665845225,201.9981618,63.85924489039311,144.001212075,NA,0.26,0.74,144.001212075
756,23,158.8289461066063,169.5650694738963,169.94502822684504,170.1350076033194,51.184226956925464,169.5650694738963,NA,0.23,0.77,169.5650694738963
757,136,107.86501366692075,120.65282546978763,143.16304899903736,169.14322350641157,53.4549063927368,120.65282546978763,NA,0.8,0.19999999999999996,120.65282546978763
803,469,183.79479052172516,193.14971561757116,207.6903042956116,227.61524602465377,103.93964566531704,193.14971561757116,NA,0.8,0.19999999999999996,193.14971561757116
810,123,139.98473345902673,142.4294807899361,147.13650238332585,200.0178144,73.69771621962872,142.4294807899361,NA,0.8,0.19999999999999996,142.4294807899361
814,869,182.02712803077992,200.22377960748187,267.6896534645958,349.7674743,94.701703740959,200.22377960748187,NA,0.8,0.19999999999999996,200.22377960748187
823,21,132.98815439999998,133.89831791999998,134.80848144,135.2635632,79.50615781601756,133.89831791999998,NA,0.21,0.79,133.89831791999998
829,20,78.73989377218328,80.82443242330996,82.90897107443664,83.95124039999999,52.147731576303805,80.82443242330996,NA,0.2,0.8,80.82443242330996
843,77,227.40450955267042,241.1769036278858,269.82053921991786,345.74978519999996,112.72146016037279,241.1769036278858,NA,0.77,0.22999999999999998,241.1769036278858
846,89,139.75746717969116,152.87904010459965,156.92640166532013,157.36677829310912,79.19159183781558,152.87904010459965,NA,0.8,0.19999999999999996,152.87904010459965
847,128,223.11801323999998,321.51787317899993,391.36654215900023,418.4494236,119.22636419678096,321.51787317899993,NA,0.8,0.19999999999999996,321.51787317899993
