SPCD,ln_sdimax_offset,ln_sdimax,sdimax_bayes,slope_offset,species_slope,qr_sdimax_10,qr_slope,n_stands,w_qr,w_bayes,sdimax_combined,slope_combined,fvs_sdimax_prior
317,0.1598206718625,5.6303985068625,278.7731885290228,0.02227640518109375,-1.6013307135689063,341.33463986970213,-1.4771125873338384,64,0.64,0.36,318.8125173870576,-1.5218311127784627,590
318,0.0537273308701875,5.524305165870188,250.71207417972735,-0.00189156051933,-1.62549867926933,306.2496053540468,-1.6759637513308019,800,0.7,0.30000000000000004,289.588346001751,-1.6608242297123603,371
331,-0.4122013041425,5.0583765308575,157.3348805475095,-0.02453371772679,-1.64814083647679,NA,NA,NA,NA,NA,NA,NA,371
332,-0.0674801988972625,5.403097636102737,222.09331604601982,-0.009852830752805,-1.633459949502805,NA,NA,NA,NA,NA,NA,NA,NA
341,0.130659291978675,5.601237126978675,270.76116625742117,0.00737919676292,-1.61622792198708,NA,NA,NA,NA,NA,NA,NA,NA
372,0.0994549334059625,5.570032768405963,262.4426989282797,-0.00929339676954375,-1.6329005155195437,NA,NA,NA,NA,NA,NA,NA,NA
373,-0.1079013214126875,5.362676513587313,213.29507029083234,-0.006643228187025,-1.630250346937025,NA,NA,NA,NA,NA,NA,NA,400
391,-0.1814375906075,5.289140244392501,198.17297182188832,-0.02252829877574875,-1.6461354175257488,NA,NA,NA,NA,NA,NA,NA,375
400,-0.0382331269822325,5.432344708017768,228.68481642243893,-0.04868011148814225,-1.6722872302381424,250.38125808155317,-2.0725377302890564,134,0.7,0.30000000000000004,243.8723255838189,-1.952462580273782,302
402,-0.157173507300125,5.3134043276998755,203.04026877108822,0.02778172223536625,-1.5958253965146338,302.8572846040358,-1.3753799870207193,55,0.55,0.44999999999999996,257.9396274792094,-1.4745804212929807,301
403,0.04788258324545125,5.518460418245452,249.25099934582678,0.015130841429235,-1.608476277320765,295.2291800555534,-1.714821137605972,286,0.7,0.30000000000000004,281.4357258426354,-1.68291767952041,276
404,-0.541116753475,4.929461081525,138.30495715558672,0.0060851098451325,-1.6175220089048676,NA,NA,NA,NA,NA,NA,NA,338
405,0.040380599014175,5.510958434014175,247.3881186667103,0.0329847366451125,-1.5906223821048875,NA,NA,NA,NA,NA,NA,NA,302
407,-0.0462631161229,5.4243147188771,226.85583301621395,-0.00662748252970625,-1.6302346012797064,199.62441634582802,-2.374229023356923,72,0.7,0.30000000000000004,207.7938413469438,-2.1510306967337582,302
409,-0.03252863309251625,5.438049201907484,229.99307549062505,0.04020459191901375,-1.5834025268309864,300.59821026030215,-1.5421229600207846,119,0.7,0.30000000000000004,279.416669829399,-1.5545068300638452,230
461,-0.291314476676625,5.179263358323375,177.551970626717,-0.029063865770985,-1.652670984520985,NA,NA,NA,NA,NA,NA,NA,339
462,-0.0115383674368875,5.459039467563112,234.87171408168516,-0.009525709167068375,-1.6331328279170685,272.6098657277236,-1.8723089841060343,97,0.7,0.30000000000000004,261.28842023391206,-1.8005561372493446,420
471,-0.06957619157118625,5.401001643428814,221.62829759054068,-0.045781117212715,-1.669388235962715,NA,NA,NA,NA,NA,NA,NA,422
491,0.1939931870155,5.6645710220155,288.4642097756132,0.001969330654589875,-1.6216377880954103,405.5960851724065,-1.5647354424573412,47,0.47,0.53,343.51619121210604,-1.5948936856455178,257
521,-0.1238670048761375,5.346710830123863,209.91670939715087,-0.00463990374268,-1.6282470224926802,NA,NA,NA,NA,NA,NA,NA,147
531,0.0966612994185,5.5672391344185,261.7105532345016,0.0219471268691525,-1.6016599918808476,327.4656010661271,-1.5882931639697082,584,0.7,0.30000000000000004,307.73908671663946,-1.59230321234305,364
541,-0.02180248042974125,5.448775354570259,232.47329415259793,-0.06927525948978876,-1.6928823782397888,260.6322476070025,-1.9758818705374328,204,0.7,0.30000000000000004,252.18456157068115,-1.8909820228481395,408
544,0.103075909167125,5.5736537441671254,263.3947201625004,-0.0029787588287337498,-1.6265858775787339,345.6886955634131,-1.5131865334531092,113,0.7,0.30000000000000004,321.0005029431393,-1.5472063366907967,414
546,-0.15640655124851174,5.314171283751489,203.19605146554733,-0.049801624631275375,-1.6734087433812754,NA,NA,NA,NA,NA,NA,NA,408
552,-0.1104856736773125,5.3600921613226875,212.74455236541988,0.006270060998929625,-1.6173370577510704,NA,NA,NA,NA,NA,NA,NA,338
601,-0.33267638155625,5.13790145344375,170.35788897818486,-0.015231673010769,-1.6388387917607692,NA,NA,NA,NA,NA,NA,NA,283
602,-0.19670736381625,5.27387047118375,195.1699019350313,0.007401795095253125,-1.616205323654747,340.7085857412076,-1.266261980685329,106,0.7,0.30000000000000004,297.0469805993547,-1.3712449835761544,283
611,0.184904524775,5.655482359775,285.8543341091429,0.07359520490450137,-1.5500119138454986,393.98619709465885,-1.4292263824657292,155,0.7,0.30000000000000004,361.54663819900406,-1.4654620418796602,430
621,0.116493039685,5.587070874685001,266.9525359673196,0.04455998161579125,-1.5790471371342087,374.4447522117237,-1.4201474604665791,1296,0.7,0.30000000000000004,342.19708733840247,-1.4678173634668679,478
641,-0.307239885,5.163337950000001,174.7467791925243,-0.0341852114827,-1.6577923302327,NA,NA,NA,NA,NA,NA,NA,404
651,-0.01336783597759125,5.457209999022409,234.4424164826344,-0.009124501641571374,-1.6327316203915714,NA,NA,NA,NA,NA,NA,NA,415
654,0.041633327436035,5.512211162436035,247.69822299189082,-4.2260518659475e-4,-1.6240297239365948,NA,NA,NA,NA,NA,NA,NA,NA
680,0.09514459947655,5.56572243447655,261.3139177181697,0.00562975311480125,-1.6179773656351988,NA,NA,NA,NA,NA,NA,NA,277
693,-0.0525514587594375,5.4180263762405625,225.43376173096578,-0.05081297171331125,-1.6744200904633113,241.19773704193602,-1.9865490423799632,60,0.6,0.4,234.8921469175479,-1.8616974616133026,430
701,0.12995487910435,5.60053271410435,270.57050576577853,-0.0016346028563,-1.6252417216063,NA,NA,NA,NA,NA,NA,NA,304
711,0.2268841567875,5.697461991787501,298.1098348101756,-0.0303886607736575,-1.6539957795236575,135.8836282353485,-3.017746851137465,33,0.33,0.6699999999999999,244.57518664048263,-2.104033633156214,164
712,-0.43478073596125,5.03579709903875,153.82215525016096,-0.0131975299268625,-1.6368046486768626,NA,NA,NA,NA,NA,NA,NA,NA
731,0.030153156089301626,5.500730991089302,244.87086527758112,0.08692084980548374,-1.5366862689445164,341.7707217707677,-1.3455518970624538,144,0.7,0.30000000000000004,312.7007648228117,-1.4028922086270725,499
742,-0.0304572664829675,5.440120568517033,230.46996920797326,0.02901039295084,-1.59459672579916,NA,NA,NA,NA,NA,NA,NA,648
762,-0.1292660786969875,5.341311756303012,208.78640762393223,-0.05813580643057,-1.68174292518057,233.9515989340003,-1.8507451015324046,42,0.42,0.5800000000000001,219.35578797416082,-1.7527238392483406,384
802,0.0971085523975,5.5676863873975,261.82763023863924,-0.008302073557555,-1.631909192307555,326.091278839432,-1.6124511656228018,1162,0.7,0.30000000000000004,306.81218425919417,-1.6182885736282278,361
806,0.1633369599875,5.633914794987501,279.7551608183843,-0.0146953483186415,-1.6383024670686417,333.6810492137518,-1.674384884075472,275,0.7,0.30000000000000004,317.5032826951416,-1.663560158973423,315
812,0.04434434607985,5.51492218107985,248.3706485597478,0.14225203304323375,-1.4813550857067663,317.8987944396723,-1.6086593888863034,99,0.7,0.30000000000000004,297.040350675695,-1.5704680979324424,342
813,0.0722461796159625,5.542824014615963,255.39823034400663,0.0204925309814335,-1.6031145877685666,304.0118622170854,-1.7189285356804578,41,0.41,0.5900000000000001,275.32981941196897,-1.650598306412442,405
817,-0.42935502225,5.04122281275,154.65901846411327,-0.0146816032180225,-1.6382887219680227,NA,NA,NA,NA,NA,NA,NA,370
823,-0.4188887538,5.0516890812,156.28622178897905,-0.008775031232663625,-1.6323821499826636,NA,NA,NA,NA,NA,NA,NA,423
826,-0.02312736808275,5.4474504669172505,232.1654970988028,0.0120907155014275,-1.6115164032485725,289.7523515258119,-1.4606735721749913,119,0.7,0.30000000000000004,272.47629519770913,-1.5059264214970656,336
830,0.555869043,6.026446878,414.2405641939272,0.0719563412466,-1.5516507775034,NA,NA,NA,NA,NA,NA,NA,455
